;stop_id;stop_name;lon;lat;count;geometry;color
4861;1001041;Нижняя Красносельская ул.;37.67288481;55.77444183;70;POINT (37.67288481 55.77444183);blue
4862;1001042;Елоховская пл.;37.67533946;55.77293636;197;POINT (37.67533946 55.77293636);green
4863;1001044;Аптекарский пер.;37.67925723;55.76926942;178;POINT (37.67925723 55.76926942);green
4864;1001045;Денисовский пер.;37.67978362;55.76660466;70;POINT (37.67978362 55.76660466);blue
4865;1001047;Диагностический центр;37.68288786;55.75157467;70;POINT (37.68288786 55.75157467);blue
4866;1001048;Платф. Серп и Молот;37.68258862;55.74890648;238;POINT (37.68258862 55.74890648);yellow
4867;1001049;Михалково;37.52239701;55.83791628;136;POINT (37.52239701 55.83791628);green
4868;1001050;Коптевский рынок;37.52044056;55.83412321;136;POINT (37.52044056 55.83412321);green
4869;1001051;Коптевский рынок;37.52068199;55.83403761;139;POINT (37.52068199 55.83403761);green
4870;1001052;Михалково;37.52298571;55.83857717;139;POINT (37.52298571 55.83857717);green
4871;1001053;Средний Золоторожский пер.;37.67730581;55.7497234;70;POINT (37.67730581 55.7497234);blue
4872;1001055;Лефортовская площадь;37.6843;55.76895487;121;POINT (37.6843 55.76895487);green
4873;1001057;Торговый комплекс «Тройка»;37.66338502;55.78631623;254;POINT (37.66338502 55.78631623);yellow
4874;1001061;Нижн. Красносельская ул.;37.66655596;55.77903335;127;POINT (37.66655596 55.77903335);green
4875;1001062;Большой Факельный пер.;37.66318196;55.74260179;118;POINT (37.66318196 55.74260179);green
4876;1001063;Смирновская ул., 25;37.71514134;55.73490535;228;POINT (37.71514134 55.73490535);yellow
4877;1001064;Подъёмный пер.;37.71041523;55.73628293;204;POINT (37.71041523 55.73628293);yellow
4878;1001065;Подъёмный пер.;37.71054552;55.73642502;196;POINT (37.71054552 55.73642502);green
4879;1001068;Ул. Пырьева;37.52702568;55.7255485;158;POINT (37.52702568 55.7255485);green
4880;1001069;2-й Мосфильмовский пер.;37.52497634;55.72905859;350;POINT (37.52497634 55.72905859);orange
4881;1001070;Ул. Пырьева;37.52785463;55.72512541;192;POINT (37.52785463 55.72512541);green
4882;1001071;Ул. Ротерта;37.72273682;55.87786577;129;POINT (37.72273682 55.87786577);green
4883;1001072;Ул. Ротерта, 9;37.72628656;55.87645985;129;POINT (37.72628656 55.87645985);green
4884;1001073;Ул. Проходчиков;37.71977532;55.87401557;129;POINT (37.71977532 55.87401557);green
4885;1001074;Ул. Кибальчича;37.65428431;55.81581047;128;POINT (37.65428431 55.81581047);green
4886;1001075;Ул. Кибальчича;37.65284952;55.81579298;128;POINT (37.65284952 55.81579298);green
4887;1001076;Институт биологии и химии;37.6449168;55.8163549;128;POINT (37.6449168 55.8163549);green
4888;1001077;Институт биологии и химии;37.64907225;55.81595801;128;POINT (37.64907225 55.81595801);green
