post_index;post_address;post_coordinates;post_lat;post_lon
115487;г Москва , Андропова пр-кт, 38;[55.67452, 37.661755];55.67452;37.661755
115516;г Москва , Кавказский б-р, 35/2, к.1;[55.627323, 37.65487];55.627323;37.65487
115522;г Москва , Пролетарский пр-кт, 6, к.1;[55.646614, 37.65508];55.646614;37.65508
115533;г Москва , Нагатинская наб, 14, к.6;[55.682114, 37.649914];55.682114;37.649914
115547;г Москва , Загорьевский пр., 9, к.1;[55.578087, 37.67755];55.578087;37.67755
115551;г Москва , Домодедовская ул, 20, к.3, стр.2;[55.612865, 37.702156];55.612865;37.702156
115561;г Москва , Каширское ш, 142, к.3, стр.2;[55.597343, 37.722397];55.597343;37.722397
115563;г Москва , Борисовский пр., 11, к.1, стр.2;[55.626637, 37.721962];55.626637;37.721962
115569;г Москва , Шипиловская ул, 13, к.2;[55.618916, 37.706444];55.618916;37.706444
115573;г Москва , Шипиловская ул, 50, к.3, стр.1;[55.61916, 37.737255];55.61916;37.737255
115580;г Москва , Кустанайская ул, 10, к.3;[55.617268, 37.752525];55.617268;37.752525
115582;г Москва , Шипиловский пр., 59, к.2, стр.2;[55.604214, 37.709373];55.604214;37.709373
115583;г Москва , Ясеневая ул, 19, к.1;[55.603573, 37.73063];55.603573;37.73063
115597;г Москва , Ясеневая ул, 36;[55.605427, 37.74294];55.605427;37.74294
115598;г Москва , Липецкая ул, 50, стр.2;[55.579792, 37.6818];55.579792;37.6818
115612;г Москва , Ключевая ул, 6, к.3;[55.63627, 37.755802];55.63627;37.755802
115682;г Москва , Задонский пр., 36, к.2;[55.62024, 37.75893];55.62024;37.75893
117036;г Москва , Кржижановского ул, 5, к.1;[55.682755, 37.56328];55.682755;37.56328
117041;г Москва , Адмирала Лазарева ул, 35, к.1;[55.542843, 37.525738];55.542843;37.525738
117042;г Москва , Венёвская ул, 3А;[55.54811, 37.545536];55.54811;37.545536
117105;г Москва , Варшавское ш, 18, к.2;[55.691254, 37.620235];55.691254;37.620235
117133;г Москва , Тёплый Стан ул, 12, к.1;[55.629807, 37.486965];55.629807;37.486965
117148;г Москва , Брусилова ул, 17;[55.500607, 37.587215];55.500607;37.587215
117149;г Москва , Сивашская ул, 3;[55.65922, 37.60667];55.65922;37.60667
117152;г Москва , Севастопольский пр-кт, 11, к.1;[55.690563, 37.60711];55.690563;37.60711
117186;г Москва , Нагорный б-р, 10;[55.67222, 37.59574];55.67222;37.59574
117198;г Москва , Миклухо-Маклая ул, 11;[55.653767, 37.50162];55.653767;37.50162
117208;г Москва , Чертановская ул, 9, стр.2;[55.62908, 37.60065];55.62908;37.60065
117209;г Москва , Болотниковская ул, 52, к.2;[55.66293, 37.582672];55.66293;37.582672
117216;г Москва , Грина ул, 5Б;[55.566895, 37.571014];55.566895;37.571014
117218;г Москва , Кржижановского ул, 17, к.1;[55.679268, 37.573486];55.679268;37.573486
117246;г Москва , Херсонская ул, 37;[55.653873, 37.559597];55.653873;37.559597
117279;г Москва , Миклухо-Маклая ул, 55;[55.641685, 37.53181];55.641685;37.53181
117292;г Москва , Кржижановского ул, 5, к.1;[55.682755, 37.56328];55.682755;37.56328
117303;г Москва , Каховка ул, 11, к.1;[55.650543, 37.58729];55.650543;37.58729
