;route_id;service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date;count
93;141035;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;912
94;141035;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;720
95;141035;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;864
96;141035;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;720
97;141036;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;5584
98;141036;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;3675
99;141036;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;5475
100;141036;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3143
101;141037;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4346
102;141037;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;4028
103;141037;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;3816
104;141037;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3604
105;141038;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1496
106;141038;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;918
107;141038;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1496
108;141038;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;918
109;141039;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;3575
110;141039;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2640
111;141039;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;3520
112;141039;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2695
113;141041;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;3535
114;141041;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2908
115;141042;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;642
116;141042;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;594
117;141042;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;642
118;141042;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;594
119;141043;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1233
120;141043;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;566
121;141043;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1153
122;141043;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;566
123;141044;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;750
124;141044;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;465
125;141044;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;720
126;141044;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;465
127;141045;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1064
128;141045;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;623
129;141045;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1064
130;141045;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;623
131;141046;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1653
132;141046;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1479
133;141046;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1595
