Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
2005;Нет;Исправный;70;;B;2;2;9;9;1;159065;;;На счете регионального оператора;;;;106;;;;;
2005;Нет;Исправный;54;;B;2;2;10;10;;159066;4;;;;;;94;;;;;
2013;Нет;Исправный;40;;Не присвоен;2;;6;6;;489525;6;;На счете регионального оператора;;;;40;;;;;
1956;Нет;Исправный;76;48;Не присвоен;4;;5;5;1;363658;2;;;;;;;;;;;
1957;Нет;Исправный;52;40;;4;;;;;363659;4;;;;Нет;Многоквартирный дом;;21;;;;
1956;Нет;Исправный;28;21;Не присвоен;2;;4;4;;926319;5;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;57;44;;4;;;;;363664;2;;;;Нет;Многоквартирный дом;;37;;;;
1957;Нет;Исправный;107;72;Не присвоен;6;;5;5;1;363662;6;;;;;;;;;;;
1957;Нет;Исправный;56;47;Не присвоен;4;;4;4;;363663;;;На счете регионального оператора;;;;;;;;;
1954;Нет;Исправный;68;47;Не присвоен;5;;5;5;;363665;6;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;55;37;Не присвоен;4;;5;5;1;363666;5;;;;;;;;;;;
1954;Нет;Исправный;66;47;Не присвоен;5;;5;5;;363667;7;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;50;21;Не присвоен;1;1;9;9;;363669;2;;;;;;28;;;;;
1959;Нет;Исправный;100;80;Не присвоен;5;;5;5;;363668;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;40;32;Не присвоен;2;;5;5;;363671;;;На счете регионального оператора;;;;;;;;;
1959;Нет;Исправный;76;63;Не присвоен;6;;5;5;;363670;14;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;47;39;Не присвоен;4;;5;5;1;363672;12;;;;;;;;;;;
1965;Нет;Исправный;40;32;Не присвоен;2;;5;5;;363674;;;;0;Нет;;;;;;;
1955;Нет;Исправный;26;24;Не присвоен;2;;5;5;;926290;3;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;100;80;Не присвоен;5;;5;5;1;363677;;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;52;34;Не присвоен;4;;5;5;;363676;9;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;54;40;Не присвоен;4;;5;5;;363678;13;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;39;32;Не присвоен;3;;4;4;;363680;3;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;83;26;Не присвоен;5;;5;5;1;363679;14;;;;;;;;;;;
1959;Нет;Исправный;100;80;Не присвоен;5;;5;5;1;363681;1;;;;;;;;;;;
1959;Нет;Исправный;37;32;Не присвоен;2;;5;5;;363682;3;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;77;24;Не присвоен;6;;4;4;;363683;18;;На счете регионального оператора;0;;;;;;;;
1955;Нет;Исправный;40;32;Не присвоен;3;;4;4;;363684;6;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;53;37;Не присвоен;4;;5;5;;363685;9;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;40;30;Не присвоен;4;;5;5;;363687;;;На счете регионального оператора;;;;;;;;;
1957;Нет;Исправный;31;27;;4;;;;;1299004;7;;;;Нет;Многоквартирный дом;;14;;;;
1959;Нет;Исправный;26;24;Не присвоен;2;;4;4;;826430;6;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;49;40;;4;;;;;363689;10;;;;Нет;Многоквартирный дом;;35;;;;
1963;Нет;Исправный;40;32;C;2;;5;5;1;789455;;;На специальном счете организации;;;;;;;;;
1961;Нет;Исправный;24;16;Не присвоен;2;;4;4;;826431;1;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;49;44;Не присвоен;4;;5;5;;363692;6;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;37;32;Не присвоен;2;;5;5;;363694;3;;На счете регионального оператора;0;;;;;;;;
1969;Нет;Исправный;56;16;Не присвоен;4;;5;5;;363693;;;На счете регионального оператора;0;;;40;;;;;
1969;Нет;Исправный;109;32;Не присвоен;8;;5;5;;363695;;;На счете регионального оператора;0;;;90;;;;;
1954;Нет;Исправный;23;17;Не присвоен;2;;4;4;1;926323;1;;;;;;;;;;;
1954;Нет;Исправный;24;17;Не присвоен;2;;4;4;1;926289;1;;;;;;;;;;;
1958;Нет;Исправный;26;22;Не присвоен;2;;5;5;;926301;3;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;;;Не присвоен;1;;2;2;;395535;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1959;Нет;Исправный;;;Не присвоен;1;;2;2;;540612;;;;;;;;;;;;
1959;Нет;Исправный;9;4;Не присвоен;1;;2;2;;395536;;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;8;4;Не присвоен;1;;2;2;;395537;;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;26;13;;3;;;;;826434;;;;;Нет;Многоквартирный дом;;;;;;
1952;Нет;Исправный;46;14;Не присвоен;5;;4;4;1;669535;2;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;32;17;Не присвоен;3;;3;3;;669536;3;;На счете регионального оператора;;;;;;;;;
1954;Нет;Исправный;58;12;;4;;;;1;826437;2;;;;Нет;Многоквартирный дом;2;;;;;
1954;Нет;Исправный;58;26;Не присвоен;4;;5;5;1;669538;1;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;46;8;A;4;;4;4;1;669539;3;;;;;;6;;;;;
1972;Нет;Исправный;60;48;Не присвоен;4;;5;5;1;334893;;;На счете регионального оператора;0;;;;;;;;
2020;Нет;Исправный;170;171;;4;4;;;1;1129430;4;;;;Нет;Многоквартирный дом;;;;;;
2018;Нет;Исправный;99;99;;3;3;;;1;1129431;6;;;;Да;Многоквартирный дом;;;;;;
1973;Нет;Исправный;119;96;Не присвоен;8;;5;5;1;334894;;;На счете регионального оператора;0;;;;;;;;
1969;Нет;Исправный;119;96;Не присвоен;8;;5;5;1;334895;;;На счете регионального оператора;0;;;;;;;;
1969;Нет;Исправный;69;56;Не присвоен;4;;5;5;1;334896;1;;;;;;;;;;;
1970;Нет;Исправный;118;96;Не присвоен;8;;5;5;1;334897;1;;;;;;;;;;;
2015;Нет;Исправный;179;188;A;4;4;10;10;1;796393;8;;;;;;;;;;;
2022;Нет;Исправный;49;49;;1;1;;;1;1361498;;;;;;;;;;;;
1961;Нет;Исправный;23;16;Не присвоен;2;;3;3;;363696;1;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;23;10;Не присвоен;3;;3;3;1;363697;2;;;;;;;;;;;
1949;Нет;Исправный;24;16;Не присвоен;2;;3;3;1;926457;;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;30;22;Не присвоен;3;;3;3;;926456;1;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;25;13;Не присвоен;3;;3;3;1;826439;2;;;;;;;;;;;
1949;Нет;Исправный;20;7;Не присвоен;2;;2;2;1;926458;1;;;;;;;;;;;
1950;Нет;Исправный;27;13;Не присвоен;3;;2;2;1;826442;3;;;;;;;;;;;
1949;Нет;Исправный;22;8;Не присвоен;4;;2;2;;363703;2;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;24;10;Не присвоен;3;;3;3;;926459;1;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;11;6;Не присвоен;2;;2;2;;926460;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;27;15;Не присвоен;3;;3;3;1;926461;1;;;;;;;;;;;
1950;Нет;Исправный;24;14;Не присвоен;2;;3;3;1;926462;1;;;;;;;;;;;
1949;Нет;Исправный;12;4;Не присвоен;2;;2;2;;926439;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;27;13;Не присвоен;3;;3;3;1;926440;1;;;;;;;;;;;
1949;Нет;Исправный;14;4;Не присвоен;2;;2;2;;926441;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;24;14;Не присвоен;2;;3;3;;926443;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;27;17;Не присвоен;3;;3;3;1;926442;1;;;;;;;;;;;
1948;Нет;Исправный;12;;Не присвоен;2;;2;2;;926444;;;На счете регионального оператора;0;Нет;;;;;;;
1950;Нет;Исправный;22;15;Не присвоен;3;;3;3;;363714;3;;На счете регионального оператора;0;;;;;;;;
1948;Нет;Исправный;12;4;Не присвоен;2;;2;2;;820643;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;27;16;Не присвоен;3;;3;3;;926445;1;;На счете регионального оператора;0;;;;;;;;
1948;Нет;Исправный;15;10;Не присвоен;3;;2;2;1;926446;;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;26;13;Не присвоен;3;;3;3;1;926447;;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;23;12;Не присвоен;2;;3;3;1;926448;2;;;;;;;;;;;
1949;Нет;Исправный;;;Не присвоен;2;;2;1;1;407138;;;;;;;;;;;;
1949;Нет;Исправный;16;;Не присвоен;2;;2;2;1;926450;;;На счете регионального оператора;;;;;;;;;
1948;Нет;Исправный;12;7;Не присвоен;2;;2;2;1;926449;;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;23;16;Не присвоен;2;;3;3;1;926452;3;;;;;;;;;;;
1950;Нет;Исправный;25;13;Не присвоен;3;;3;3;1;926451;1;;;;;;;;;;;
1949;Нет;Исправный;16;8;Не присвоен;2;;2;2;;926454;;;На счете регионального оператора;;;;;;;;;
1949;Нет;Исправный;15;8;Не присвоен;2;;2;2;;926455;;;На счете регионального оператора;;;;;;;;;
1948;Нет;Исправный;12;7;Не присвоен;2;;2;2;1;926453;;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;17;6;Не присвоен;2;;3;3;;826438;2;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;61;36;Не присвоен;4;;4;4;;363728;2;;На счете регионального оператора;0;;;;;;;;
1977;Нет;Исправный;;;;2;;1;2;1;793992;;;;;;;;;;;;
1957;Нет;Исправный;20;10;Не присвоен;5;;3;3;;669540;2;;На счете регионального оператора;0;;;2;;;;;
1960;Нет;Исправный;36;20;Не присвоен;2;;3;3;1;669541;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;32;24;Не присвоен;4;;4;4;1;669542;;;На счете регионального оператора;;;;;;;;;
1951;Нет;Исправный;108;92;Не присвоен;5;;5;5;1;669543;2;;На счете регионального оператора;0;;;;;;;;
1960;Нет;Исправный;40;24;Не присвоен;2;;4;4;;669544;2;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;32;19;Не присвоен;4;;4;4;1;669545;1;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;210;179;Не присвоен;10;2;8;5;1;669546;10;;;;;;;;;;;
1958;Нет;Исправный;30;26;Не присвоен;4;;3;3;;669547;1;;На счете регионального оператора;;;;;;;;;
1933;Нет;Исправный;30;4;Не присвоен;4;;3;3;;669548;;;На счете регионального оператора;;;;2;;;;;
1938;Нет;Исправный;30;18;Не присвоен;5;;3;3;;669550;;;На счете регионального оператора;0;Нет;;;;;;;
1938;Нет;Исправный;30;15;Не присвоен;5;;3;3;;669551;;;На счете регионального оператора;0;Нет;;;;;;;
1933;Нет;Исправный;30;6;Не присвоен;5;;3;3;;669552;;;На счете регионального оператора;0;Нет;;;;;;;
1933;Да;Аварийный;;;Не присвоен;2;;3;3;;395539;;;На счете регионального оператора;0;;Многоквартирный дом;;81;;;;
1933;Нет;Исправный;30;;Не присвоен;5;;3;3;;669553;;;На счете регионального оператора;;Нет;Многоквартирный дом;;;;;;
1933;Нет;Исправный;30;;Не присвоен;5;;3;3;;669554;;;На счете регионального оператора;0;;;;;;;;
1933;Нет;Исправный;24;;Не присвоен;4;;3;3;;669555;;;На счете регионального оператора;0;;;;;;;;
1933;Нет;Исправный;20;;Не присвоен;4;;3;3;;669556;1;;На счете регионального оператора;0;Нет;;;;;;;
1934;Нет;Исправный;20;14;Не присвоен;3;;3;3;;669557;3;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;71;34;Не присвоен;5;;5;5;1;669558;5;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;70;36;;7;;;;;669559;1;;;;Нет;Многоквартирный дом;;43;;;;
1949;Нет;Исправный;60;36;Не присвоен;3;;5;5;1;669560;;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;40;42;Не присвоен;4;;5;5;1;669561;1;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;40;36;;4;;5;5;1;669562;1;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;45;22;Не присвоен;5;;3;3;1;313478;4;;На счете регионального оператора;0;;;;;;;;
1949;Нет;Исправный;16;2;;2;;;;1;826447;;;;;Нет;Многоквартирный дом;;42;;;;
1955;Нет;Исправный;24;;Не присвоен;2;;3;;;753731;;;;;;;;;;;;
1950;Нет;Исправный;14;2;;2;;;;1;826448;;;;;Нет;Многоквартирный дом;;36;;;;
1958;Нет;Исправный;18;8;Не присвоен;2;;2;2;1;313480;;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;37;20;Не присвоен;3;;4;4;1;313479;2;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;27;18;Не присвоен;3;;3;3;1;313481;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;14;2;;2;;;;1;1214147;;;;;Нет;Многоквартирный дом;;37;;;;
1949;Нет;Исправный;16;4;;2;;;;1;1216206;;;;;Нет;Многоквартирный дом;;38;;;;
1958;Нет;Исправный;24;9;Не присвоен;3;;3;3;1;313482;1;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;;;Не присвоен;2;;3;3;;918019;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1948;Нет;Исправный;22;;Не присвоен;3;;2;2;1;835675;1;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;16;2;Не присвоен;2;;2;;1;918020;;;;;Нет;Многоквартирный дом;;;;;;
1946;Нет;Исправный;16;10;Не присвоен;2;;2;2;;926437;;;На счете регионального оператора;;;;;;;;;
1947;Нет;Исправный;14;4;;2;;;;1;826445;;;;;Нет;;;;;;;
1946;Нет;Исправный;16;8;;2;;;;1;1225267;;;;;Нет;Многоквартирный дом;;48;;;;
1946;Нет;Исправный;16;8;Не присвоен;2;;2;2;1;926436;;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;16;8;Не присвоен;2;;2;2;1;926435;;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;14;4;;2;;;;1;826446;;;;;Нет;Многоквартирный дом;;45;;;;
1947;Нет;Исправный;16;7;;2;;;;2;1266569;;;;;Нет;Многоквартирный дом;;46;;;;
1946;Нет;Исправный;8;3;E;1;;2;2;1;437306;;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;16;8;Не присвоен;2;;2;2;;926434;;;На счете регионального оператора;;;;;;;;;
1947;Нет;Исправный;16;7;Не присвоен;2;;2;;1;918021;;;;;Нет;Многоквартирный дом;;;;;;
1945;Нет;Исправный;16;8;;2;;;;1;1215105;;;;;Нет;;;;;;;
1946;Нет;Исправный;8;5;Не присвоен;1;;2;2;;926433;;;На счете регионального оператора;;;;;;;;;
1947;Нет;Исправный;16;6;Не присвоен;2;;2;;1;918022;;;;;Нет;Многоквартирный дом;;;;;;
1946;Нет;Исправный;16;4;E;2;;2;2;1;437307;;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;16;8;Не присвоен;2;;2;2;;926432;;;На счете регионального оператора;;;;;;;;;
1948;Нет;Исправный;15;13;Не присвоен;2;;3;;1;918023;;;;;;;;;;;;
1946;Нет;Исправный;16;10;Не присвоен;2;;2;2;;926430;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;;;;;;;;;1157022;;;;;;Многоквартирный дом;;39;;;1175.7;
1955;Нет;Исправный;60;38;Не присвоен;5;;5;5;;363736;5;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;35;11;;1;1;;;;1193678;3;;;;Нет;;;;;;;
1952;Нет;Исправный;63;21;Не присвоен;5;;5;5;;363738;7;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;6;;Не присвоен;1;;4;4;1;926463;1;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;36;11;Не присвоен;1;1;8;8;;363739;5;;;;;;;;;;;
1953;Нет;Исправный;26;3;Не присвоен;3;;4;4;;926418;1;;На счете регионального оператора;0;;;;;;;;
1956;Нет;Исправный;97;36;Не присвоен;8;;5;5;;363741;8;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;39;28;Не присвоен;3;;6;5;;363744;4;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;10;;Не присвоен;1;;4;4;;926626;1;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;67;32;Не присвоен;5;1;7;5;;363746;5;;;;;;;;;;;
1952;Нет;Исправный;89;34;Не присвоен;6;1;6;5;;363748;8;;;;;;;;;;;
1952;Нет;Исправный;18;14;Не присвоен;3;;3;3;;926416;1;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;48;;Не присвоен;4;;5;5;;363750;5;;На счете регионального оператора;;Нет;;;;;;;
1951;Нет;Исправный;62;57;Не присвоен;5;;5;5;;363751;4;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;82;42;Не присвоен;6;;5;5;;363752;6;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;39;12;Не присвоен;4;;3;3;;363753;;;На счете регионального оператора;;;;;;;;;
1951;Нет;Исправный;44;24;Не присвоен;4;;5;4;;363754;2;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;26;13;Не присвоен;3;;3;3;;926429;;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;64;46;Не присвоен;3;3;8;8;;363756;2;;;;;;;;;;;
1950;Нет;Исправный;18;5;Не присвоен;2;;3;3;;926428;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;30;20;Не присвоен;3;;3;3;;926426;3;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;30;20;Не присвоен;3;;3;3;;926427;1;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;221;157;Не присвоен;19;;5;3;;363757;12;;На счете регионального оператора;0;;;;;;;;
1953;Нет;Исправный;79;47;Не присвоен;6;;5;5;;363762;5;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;38;13;Не присвоен;4;;3;3;;363763;;;На счете регионального оператора;;;;;;;;;
1951;Нет;Исправный;31;67;Не присвоен;3;;4;4;;363764;3;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;49;36;Не присвоен;4;;5;5;;363765;5;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;25;3;Не присвоен;3;;3;3;;926422;;;На счете регионального оператора;;;;;;;;;
1951;Нет;Исправный;68;;Не присвоен;5;;5;5;;363767;3;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;30;10;Не присвоен;3;;3;3;;926421;;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;44;60;Не присвоен;4;;5;5;;363769;4;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;46;10;Не присвоен;4;;4;4;;363772;2;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;25;;Не присвоен;3;;3;3;;926420;;;На счете регионального оператора;0;Нет;;;;;;;
1951;Нет;Исправный;65;67;Не присвоен;5;;5;5;;363771;4;;На счете регионального оператора;0;;;;;;;;
1952;Нет;Исправный;48;;Не присвоен;4;;5;5;;363774;4;;На счете регионального оператора;;;;;;;;;
1957;Нет;Исправный;46;13;Не присвоен;3;2;7;5;1;363775;1;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;27;3;;3;;;;;1193679;1;;;;Нет;;;;;;;
1951;Нет;Исправный;27;15;Не присвоен;3;;3;3;;926417;5;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;18;6;Не присвоен;2;;3;3;;926425;;;На счете регионального оператора;;;;;;;;;
1952;Нет;Исправный;14;;Не присвоен;2;;3;3;;926423;10;;На счете регионального оператора;;;;;;;;;
1958;Нет;Исправный;8;;Не присвоен;1;;2;;;826449;;;;;;Многоквартирный дом;;;;;;
1962;Нет;Исправный;24;;Не присвоен;3;;2;2;1;737749;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;80;56;Не присвоен;4;;5;5;1;334898;;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;40;32;Не присвоен;2;;5;5;;334899;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;80;48;Не присвоен;4;;5;5;1;334900;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334901;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;334902;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;40;32;Не присвоен;2;;5;5;;334903;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334904;;;;;;;;;;;;
1961;Нет;Исправный;22;16;Не присвоен;2;;3;3;;363776;1;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;78;48;Не присвоен;4;;5;5;1;334905;1;;;;;;;;;;;
1962;Нет;Исправный;38;32;Не присвоен;2;;5;5;1;334906;1;;;;;;;;;;;
1966;Нет;Исправный;100;80;Не присвоен;6;;5;5;1;334907;;;На счете регионального оператора;0;;;;;;;;
2003;Нет;Исправный;71;36;Не присвоен;3;2;9;;;785815;29;;;;;;36;;;;;
1999;Нет;Исправный;72;36;Не присвоен;3;2;9;;;786097;5;;;;;;36;;;;;
2008;Нет;Исправный;106;;А (Очень высокий);3;3;9;1;1;159093;3;;;;;;144;;;;;
1982;Нет;Исправный;60;56;Не присвоен;1;;5;5;1;334908;2;;;;;;;;;;;
2008;Нет;Исправный;162;;А (Очень высокий);4;4;9;1;1;159092;1;;;;;;180;;;;;
2007;Нет;Исправный;29;;А (Очень высокий);1;;6;1;1;432388;2;;Не определен;;;;;;;;;
2006;Нет;Исправный;72;108;Не присвоен;3;;6;6;;334909;;;На счете регионального оператора;;;;;;;;;
2005;Нет;Исправный;72;70;A;3;;6;1;;432389;3;;На специальном счете организации;0;;;37;;;;;
2005;Нет;Исправный;10;15;A;1;;6;1;1;432390;2;;На специальном счете организации;0;;;;;;;;
1969;Нет;Исправный;56;36;;4;;;;1;313484;1;;;;Да;;;;;;;
1970;Нет;Исправный;119;;C;8;;5;5;1;313483;;;На счете регионального оператора;0;Нет;;;;;;;
1969;Нет;Исправный;60;48;C;4;;5;5;1;313485;;;На счете регионального оператора;0;;;;;;;;
1968;Нет;Исправный;119;68;Не присвоен;8;;5;5;1;313486;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;64;36;Не присвоен;4;;5;5;1;313487;1;;На счете регионального оператора;0;;;;;;;;
1966;Нет;Исправный;37;32;Не присвоен;2;;5;5;1;313488;3;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;;;Не присвоен;2;;2;2;;918024;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;80;;;4;;;;1;313489;;;;;Нет;Многоквартирный дом;;;;;;
1950;Нет;Исправный;;;Не присвоен;1;;2;2;;918025;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
1959;Нет;Исправный;100;20;Не присвоен;5;;5;5;1;313492;1;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;;;Не присвоен;1;;2;2;;918109;;;На счете регионального оператора;0;;Многоквартирный дом;;;;;;
2021;Нет;Исправный;;45;;;;;;1;1157025;;;;;Нет;Многоквартирный дом;;0;;;;
1959;Нет;Исправный;48;45;;3;;;;1;313494;1;;;;Да;;;;;;;
1964;Нет;Исправный;59;48;Не присвоен;3;;5;5;1;313496;1;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;58;51;;3;;;;1;313495;1;;;;Нет;;;;;;;
1963;Нет;Исправный;43;36;Не присвоен;3;;4;4;1;313497;3;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;38;32;Не присвоен;3;;4;4;1;313500;1;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;36;;Не присвоен;3;;4;4;1;313499;1;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;64;56;Не присвоен;4;;5;5;1;313498;2;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;32;24;Не присвоен;3;;4;4;1;313501;1;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;33;22;Не присвоен;3;;3;3;;355420;;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;33;22;Не присвоен;3;;3;3;;355421;;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;51;38;Не присвоен;6;;3;3;1;313502;2;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;18;;Не присвоен;2;;3;3;1;918438;;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;26;13;Не присвоен;3;;3;3;1;918126;1;;;;;;;;;;;
1956;Да;Аварийный;8;;Не присвоен;1;;2;1;;546230;;;На счете регионального оператора;10;Нет;Многоквартирный дом;;;;;;
1954;Да;Аварийный;;;Не присвоен;1;;2;;1;918103;;;;;;Многоквартирный дом;;87;21.07.2016;Физический износ;;
1956;Да;Аварийный;;;Не присвоен;2;;2;;1;826451;;;;;;Многоквартирный дом;;91;22.10.2015;Физический износ;;
1951;Нет;Исправный;65;;Не присвоен;6;;3;3;1;313504;3;;На счете регионального оператора;;;;;;;;;
1956;Да;Аварийный;;;Не присвоен;1;;2;;;918104;;;;;;Многоквартирный дом;;88.8;09.02.2016;;;
;Да;Аварийный;;;Не присвоен;1;;2;;1;918108;;;;;;Многоквартирный дом;;;;Физический износ;;
1956;Да;Аварийный;;;Не присвоен;2;;2;;1;918107;;;;;;Многоквартирный дом;;85;25.02.2016;Физический износ;;
1956;Да;Аварийный;;;Не присвоен;2;;2;;1;918110;;;;;;Многоквартирный дом;;82;22.10.2015;Физический износ;;
;Нет;Исправный;;;Не присвоен;2;;2;;1;918113;;;;;;Многоквартирный дом;;;;;537.9;
;Да;Аварийный;;;Не присвоен;1;;2;;;918115;;;;;;Многоквартирный дом;;80;15.11.2017;;;
1956;Нет;Исправный;35;20;Не присвоен;3;;4;4;1;313505;1;;На счете регионального оператора;0;;;;;;;;
1956;Да;Аварийный;;;Не присвоен;1;;2;;1;918117;;;;;;Многоквартирный дом;;88.3;25.02.2016;Физический износ;;
1956;Да;Аварийный;8;;Не присвоен;1;;2;;;918120;;;;;Нет;Многоквартирный дом;;87.3;;;;
1956;Да;Аварийный;;;Не присвоен;1;;2;;1;920062;;;;;;Многоквартирный дом;;89.2;16.02.2016;Физический износ;;
1956;Да;Аварийный;;;Не присвоен;2;;2;;;918118;;;;;;Многоквартирный дом;;;;Физический износ;;
