Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1984;Нет;Исправный;67;;Не присвоен;1;1;9;9;1;420750;;;На счете регионального оператора;16;;;;;;;;
1975;Нет;Исправный;58;48;Не присвоен;4;;5;5;1;420749;1;;;;;;;;;;;
2018;Нет;Исправный;23;;;1;;;;1;1102313;7;;;;Нет;;;;;;;
1975;Нет;Исправный;59;48;Не присвоен;4;;5;5;1;420751;1;;;;;;;;;;;
1976;Нет;Исправный;10;16;;1;;;;1;1137829;3;;;;Нет;Многоквартирный дом;10;;;;;
1974;Нет;Исправный;109;98;Не присвоен;8;;5;5;1;420753;11;;;;;;;;;;;
1975;Нет;Исправный;129;76;;8;;;;1;1106847;1;;;;Нет;;;;;;;
1975;Нет;Исправный;113;96;Не присвоен;8;;5;5;1;420754;1;;;;;;;;;;;
1990;Нет;Исправный;85;98;;6;;;;1;1137830;;;;;Да;Многоквартирный дом;;13;;;;
1974;Нет;Исправный;89;83;Не присвоен;6;;5;5;1;420756;1;;;;;;;;;;;
1958;Нет;Исправный;5;;Не присвоен;1;;1;1;;537872;;;На счете регионального оператора;0;;;;;;;;
1956;Да;Аварийный;8;;Не присвоен;1;;2;;1;918091;;;;;Нет;Многоквартирный дом;;75;19.08.2015;;;
1956;Нет;Исправный;8;;Не присвоен;1;;2;;;918092;;;;;Нет;Многоквартирный дом;;71;;;;
1956;Да;Аварийный;8;;Не присвоен;1;;2;;1;918093;;;;;Нет;Многоквартирный дом;;90.4;30.03.2016;;;
1974;Нет;Исправный;60;48;;4;;;;;355409;;;;;Нет;Многоквартирный дом;;17;;;;
1960;Да;Аварийный;12;;Не присвоен;2;;2;2;1;395506;;;На счете регионального оператора;0;Нет;Многоквартирный дом;;;;;;
1959;Нет;Исправный;12;;Не присвоен;2;;2;2;1;395505;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;16;;;2;;;;1;981465;;;;;Нет;;;;;;;
2013;Нет;Исправный;162;;Не присвоен;3;3;10;10;1;622322;;;Не определен;580;;;;;;;;
2013;Нет;Исправный;126;;Не присвоен;3;3;10;10;1;622323;;;Не определен;350;;;;;;;;
2016;Нет;Исправный;179;;Не присвоен;3;3;10;10;1;1082808;;;Не определен;0;;;;;;;;
1954;Нет;Исправный;8;;;2;;;;;1369800;;;;;;;;;;;;
1954;Да;Аварийный;8;;Не присвоен;2;;2;2;1;918176;;;На счете регионального оператора;0;Нет;Многоквартирный дом;;;;;;
1953;Да;Аварийный;8;;Не присвоен;2;;2;;;918177;;;;;;Многоквартирный дом;;87;14.10.2015;Физический износ;;
1954;Да;Аварийный;8;;Не присвоен;2;;2;;;918178;;;;;Нет;Многоквартирный дом;;87.3;;;;
1953;Да;Аварийный;8;;Не присвоен;2;;2;;;918179;;;;;Нет;Многоквартирный дом;;84;;;;
1991;Нет;Исправный;42;20;Не присвоен;2;;5;5;;355410;;;;;;;20;;;;;
1966;Нет;Исправный;60;48;Не присвоен;3;;5;5;;355411;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;60;48;Не присвоен;3;;5;5;;355412;;;На счете регионального оператора;0;;;;;;;;
1958;Нет;Исправный;16;;Не присвоен;2;;2;;;918094;1;;;;Нет;;;;;;;
1958;Да;Аварийный;8;;Не присвоен;1;;2;;;918097;;;;;Нет;Многоквартирный дом;;63;;;;
1960;Нет;Исправный;8;;Не присвоен;1;;2;;;918101;;;;;Нет;Многоквартирный дом;;64;;;;
1960;Да;Аварийный;4;1;Не присвоен;1;;2;;;918102;;;;;Нет;Многоквартирный дом;;61;19.08.2015;;;
1967;Нет;Исправный;56;48;Не присвоен;4;;5;5;1;313379;;;На счете регионального оператора;;;;;;;;;
1965;Нет;Исправный;62;45;Не присвоен;4;;4;4;1;313380;1;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;60;48;Не присвоен;4;;4;4;1;313381;4;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;64;64;Не присвоен;4;;5;5;1;313382;1;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;64;64;Не присвоен;4;;5;5;1;313383;1;;На счете регионального оператора;0;;;;;;;;
1967;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;313384;;;На счете регионального оператора;;;;;;;;;
1963;Нет;Исправный;60;48;;4;;;;1;313385;1;;;;Нет;;;;;;;
1963;Нет;Исправный;60;48;;3;;;;1;313386;1;;;;Нет;;;;;;;
1971;Нет;Исправный;48;32;Не присвоен;1;1;9;9;1;313387;6;;На счете регионального оператора;;;;16;;;;;
1970;Нет;Исправный;48;32;Не присвоен;1;1;9;9;1;313388;1;;На счете регионального оператора;;;;16;;;;;
1969;Нет;Исправный;49;32;Не присвоен;1;1;9;9;1;313389;2;;На счете регионального оператора;;;;16;;;;;
1966;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;313390;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;60;48;Не присвоен;4;;5;5;1;313392;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;49;30;Не присвоен;1;1;9;9;1;313391;1;;На счете регионального оператора;;;;17;;;;;
1960;Нет;Исправный;76;;Не присвоен;4;;5;5;1;313393;1;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;76;48;Не присвоен;4;;5;5;1;313394;;;На счете регионального оператора;;;;;;;;;
1960;Нет;Исправный;64;36;Не присвоен;4;;4;4;1;313395;1;;На счете регионального оператора;0;;;;;;;;
1972;Нет;Исправный;48;14;Не присвоен;1;1;9;9;1;313396;3;;На счете регионального оператора;;;;24;;;;;
1968;Нет;Исправный;70;56;Не присвоен;4;;5;5;1;313398;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;100;60;;6;;;;1;313397;;;;;Нет;Многоквартирный дом;;16;;;;
1967;Нет;Исправный;59;48;;4;;;;1;313399;1;;;;Нет;;;;;;;
1973;Нет;Исправный;48;32;Не присвоен;1;1;9;9;1;313400;;;;;;;16;;;;;
1973;Нет;Исправный;58;32;Не присвоен;1;1;9;9;1;313402;;;;;;;18;;;;;
1972;Нет;Исправный;54;32;С (Нормальный);1;1;9;9;1;313401;;;;;;;18;;;;;
1954;Нет;Исправный;16;7;Не присвоен;3;;2;;1;918038;;;;;;;;;;;;
1957;Нет;Исправный;18;10;Не присвоен;2;;3;3;1;918042;;;;;;;;;;;;
1957;Нет;Исправный;18;10;Не присвоен;2;;3;3;1;918045;;;На счете регионального оператора;0;;;;;;;;
1979;Нет;Исправный;93;63;С (Нормальный);3;3;9;9;1;420757;6;01.12.2013;;;;;45;;;;;
1979;Нет;Исправный;128;80;Не присвоен;4;4;10;10;;420758;5;;;;;;48;;;;;
1979;Нет;Исправный;64;56;Не присвоен;4;;5;5;1;420759;5;;;;;;;;;;;
1984;Нет;Исправный;107;54;Не присвоен;3;3;9;9;;420760;3;;;;;;45;;;;;
1981;Нет;Исправный;96;64;Не присвоен;3;3;9;9;;420761;3;;;;;;32;;;;;
1979;Нет;Исправный;70;56;;4;;;;1;1137825;;;;;Нет;Многоквартирный дом;;30;;;;
1980;Нет;Исправный;70;56;;4;;;;1;1137824;;;;;Нет;Многоквартирный дом;;30;;;;
1979;Нет;Исправный;70;56;В+ (Высокий);4;;;;1;1137823;;08.04.2013;;;Нет;Многоквартирный дом;;;;;;
1982;Нет;Исправный;137;87;С (Нормальный);4;4;9;9;1;420765;4;01.12.2013;;;;;53;;;;;
1978;Нет;Исправный;94;90;Не присвоен;6;;5;5;1;420766;6;;;;;;;;;;;
1979;Нет;Исправный;99;86;;6;;;;2;1137826;1;;;;Нет;;;;;;;
1982;Нет;Исправный;128;92;Не присвоен;4;4;10;10;;420768;5;;;;;;36;;;;;
1980;Нет;Исправный;287;184;Не присвоен;9;9;9;9;;420769;3;;;;;;104;;;;;
1979;Нет;Исправный;107;72;Не присвоен;3;3;9;9;;420770;4;;;;;;16;;;;;
1986;Нет;Исправный;71;100;Не присвоен;1;2;12;12;1;420771;3;;На счете регионального оператора;;;;;;;;;
1986;Нет;Исправный;73;100;;1;2;;;1;1137828;1;08.04.2013;;;;;;;;;;
1987;Нет;Исправный;71;100;;1;2;;;1;1137827;2;;;;Нет;Многоквартирный дом;;;;;;
1980;Нет;Исправный;140;88;Не присвоен;4;4;9;9;;420774;3;;;;;;32;;;;;
1985;Нет;Исправный;108;72;;3;3;9;9;1;540846;;;;;;;36;;;;;
1981;Нет;Исправный;107;72;Не присвоен;3;3;9;9;;420775;1;;На счете регионального оператора;;;;35;;;;;
1981;Нет;Исправный;128;96;С (Нормальный);4;4;10;10;1;420776;5;01.12.2013;;;;;36;;;;;
1980;Нет;Исправный;116;96;;6;;5;5;1;540847;;;На специальном счете организации;;;;;;;;;
1983;Нет;Исправный;100;72;Не присвоен;3;3;9;9;;420777;7;;;;;;16;;;;;
1989;Нет;Исправный;172;144;Не присвоен;5;5;9;9;;420778;6;;;;;;34;;;;;
1981;Нет;Исправный;136;104;Не присвоен;4;4;10;10;;420779;7;;;;;;32;;;;;
1979;Нет;Исправный;151;33;;3;3;;;1;540827;8;;;;Нет;Многоквартирный дом;;;;;;
