№;Город;Площадь м2;Год;Этажей;Адрес;Ссылка;result;postal_code;city_district;street_type_full;street;house_fias_id;house_kladr_id;house_cadnum;house_type_full;house;block_type_full;block;geo_lat;geo_lon
664;Магнитогорск;5534.7;1956;7;ул. Калинина, 1;/chelyabinskaya-oblast/magnitogorsk/363521;Челябинская обл, г Магнитогорск, ул Калинина, д 1;455023;Ленинский;улица;Калинина;e2c59d47-521d-4574-8f3d-60079334928d;7400000900001330007;;дом;1;;;53.4197925;58.9964863
665;Магнитогорск;3787.3;1954;4;ул. Калинина, 3 корпус 2;/chelyabinskaya-oblast/magnitogorsk/363524;Челябинская обл, г Магнитогорск, ул Калинина, д 3 к 2;455023;Ленинский;улица;Калинина;f979d453-2e89-41c3-84ca-9a0814dd39f6;7400000900001330010;;дом;3;корпус;2;53.4201329;58.9948413
666;Магнитогорск;6650.3;1955;4;ул. Калинина, 3;/chelyabinskaya-oblast/magnitogorsk/363522;Челябинская обл, г Магнитогорск, ул Калинина, д 3;455023;Ленинский;улица;Калинина;6930f8c8-b79d-4f26-8f98-977f911e8359;7400000900001330008;;дом;3;;;53.4201153;58.9949728
667;Магнитогорск;3767.7;1954;4;ул. Калинина, 3 корпус 1;/chelyabinskaya-oblast/magnitogorsk/363523;Челябинская обл, г Магнитогорск, ул Калинина, д 3 к 1;455023;Ленинский;улица;Калинина;513cff62-23be-4d24-b083-569d82b30e70;7400000900001330009;;дом;3;корпус;1;53.4201329;58.9948413
668;Магнитогорск;1735.1;1951;3;ул. Калинина, 4 корпус 1;/chelyabinskaya-oblast/magnitogorsk/363526;Челябинская обл, г Магнитогорск, ул Калинина, д 4 к 1;455023;Ленинский;улица;Калинина;c39cda7b-2bca-4edb-b42a-a01f20d7b625;7400000900001330012;;дом;4;корпус;1;53.4204306;58.9946431
669;Магнитогорск;2654.8;1951;4;ул. Калинина, 4;/chelyabinskaya-oblast/magnitogorsk/363525;Челябинская обл, г Магнитогорск, ул Калинина, д 4;455023;Ленинский;улица;Калинина;e14e5761-9926-45b9-85b6-577a5f309a9c;7400000900001330011;;дом;4;;;53.4205272;58.9946261
670;Магнитогорск;3640.4;1954;4;ул. Калинина, 9;/chelyabinskaya-oblast/magnitogorsk/363527;Челябинская обл, г Магнитогорск, ул Калинина, д 9;455000;Ленинский;улица;Калинина;1d7a08ee-0beb-443a-8bf7-1f74d74c781c;7400000900001330015;74:33:0129004:101;дом;9;;;53.4193372;58.9914008
671;Магнитогорск;1311.1;1952;3;ул. Калинина, 10;/chelyabinskaya-oblast/magnitogorsk/923765;Челябинская обл, г Магнитогорск, ул Калинина, д 10;455000;Ленинский;улица;Калинина;0d00f506-139b-4c45-a55b-cad611de37db;7400000900001330023;;дом;10;;;53.4204062;58.9915364
672;Магнитогорск;4119.6;1954;4;ул. Калинина, 11;/chelyabinskaya-oblast/magnitogorsk/363529;Челябинская обл, г Магнитогорск, ул Калинина, д 11;455000;Ленинский;улица;Калинина;6a1d51fc-8446-4cad-acdf-0e7529ce241b;7400000900001330016;;дом;11;;;53.4193372;58.9897415
673;Магнитогорск;2550.3;1952;4;ул. Калинина, 12;/chelyabinskaya-oblast/magnitogorsk/363530;Челябинская обл, г Магнитогорск, ул Калинина, д 12;455000;Ленинский;улица;Калинина;b92a0e84-e5aa-4da6-887b-9d0a7955fb18;7400000900001330024;;дом;12;;;53.4203283;58.9905625
674;Магнитогорск;1338.3;1952;3;ул. Калинина, 14;/chelyabinskaya-oblast/magnitogorsk/820641;Челябинская обл, г Магнитогорск, ул Калинина, д 14;455000;Ленинский;улица;Калинина;b11f0910-4243-4908-82dc-6a490d43fd95;7400000900001330025;74:33:0129004:210;дом;14;;;53.4204299;58.9895261
675;Магнитогорск;2934.1;1954;4;ул. Калинина, 17;/chelyabinskaya-oblast/magnitogorsk/363532;Челябинская обл, г Магнитогорск, ул Калинина, д 17;455000;Ленинский;улица;Калинина;d34b0def-7b55-47dd-8fa3-50754579bd6e;7400000900001330017;;дом;17;;;53.4200616;58.9862487
676;Магнитогорск;3549.4;1952;4;ул. Калинина, 20;/chelyabinskaya-oblast/magnitogorsk/363534;Челябинская обл, г Магнитогорск, ул Калинина, д 20;455000;Ленинский;улица;Калинина;edb485f0-0355-4606-a340-3d613a31523d;7400000900001330028;;дом;20;;;53.4205328;58.9862864
677;Магнитогорск;8188.9;1955;5;ул. Калинина, 21;/chelyabinskaya-oblast/magnitogorsk/363535;Челябинская обл, г Магнитогорск, ул Калинина, д 21;455000;Ленинский;улица;Калинина;ef73508f-8a68-47a6-a09f-1fe1e299ef2e;7400000900001330019;;дом;21;;;53.4196697;58.9834135
678;Магнитогорск;1997.7;1952;5;ул. Калинина, 22;/chelyabinskaya-oblast/magnitogorsk/363536;Челябинская обл, г Магнитогорск, ул Калинина, д 22;455000;Ленинский;улица;Калинина;18354a2d-e564-4548-9c3d-ec8c162c68e2;7400000900001330029;;дом;22;;;53.4204306;58.9852958
679;Магнитогорск;2939.5;1955;4;ул. Калинина, 23;/chelyabinskaya-oblast/magnitogorsk/363537;Челябинская обл, г Магнитогорск, ул Калинина, д 23;455000;Ленинский;улица;Калинина;d3d4cc47-c7d2-427d-b2fe-49950ff8bdbc;7400000900001330020;;дом;23;;;53.4195381;58.9824065
680;Магнитогорск;2735.9;1955;4;ул. Калинина, 25;/chelyabinskaya-oblast/magnitogorsk/363538;Челябинская обл, г Магнитогорск, ул Калинина, д 25;455000;Ленинский;улица;Калинина;1bb8d87b-0189-4e32-8ff8-6d1c4bd4c614;7400000900001330021;74:33:0129004:232;дом;25;;;53.4196184;58.9815121
681;Магнитогорск;390.4;1954;4;ул. Калинина, 17/1;/chelyabinskaya-oblast/magnitogorsk/363533;Челябинская обл, г Магнитогорск, ул Калинина, д 17/1;455000;Ленинский;улица;Калинина;722f3b53-aba2-42b3-b44e-8c2e0d2d8785;7400000900001330071;;дом;17/1;;;53.419304;58.986694
682;Магнитогорск;171.6;1961;1;ул. Калиновая, 5;/chelyabinskaya-oblast/magnitogorsk/395511;Челябинская обл, г Магнитогорск, ул Калиновая, д 5;455013;Орджоникидзевский;улица;Калиновая;b642f40e-beda-4953-8fe5-062ac6713873;7400000900008120006;74:33:1318001:30;дом;5;;;53.4478614;59.1938808
683;Магнитогорск;177.7;1961;1;ул. Калиновая, 7;/chelyabinskaya-oblast/magnitogorsk/540608;Челябинская обл, г Магнитогорск, ул Калиновая, д 7;455013;Орджоникидзевский;улица;Калиновая;d8e561c5-3c5f-4502-8929-488248444397;7400000900008120005;74:33:1318001:29;дом;7;;;53.4478614;59.1938808
684;Магнитогорск;160.8;1983;1;ул. Калиновая, 9;/chelyabinskaya-oblast/magnitogorsk/395512;Челябинская обл, г Магнитогорск, ул Калиновая, д 9;455013;Орджоникидзевский;улица;Калиновая;a850e8f6-93ad-4b33-9ef4-82fd976dee8a;7400000900008120003;74:33:1318001:26;дом;9;;;53.4478614;59.1938808
685;Магнитогорск;598.3;1968;2;ул. Калиновая, 13;/chelyabinskaya-oblast/magnitogorsk/395513;Челябинская обл, г Магнитогорск, ул Калиновая, д 13;455013;Орджоникидзевский;улица;Калиновая;1b8dd2de-c0a9-4c7b-8924-b738d55d553f;7400000900008120008;74:33:1318001:32;дом;13;;;53.4478614;59.1938808
686;Магнитогорск;4511.2;1990;9;ул. Калмыкова, 2;/chelyabinskaya-oblast/magnitogorsk/486542;Челябинская обл, г Магнитогорск, ул Калмыкова, д 2;455021;Орджоникидзевский;улица;Калмыкова;0d1ae030-bf86-499e-b6c2-6a23610ccfb8;7400000900001340001;;дом;2;;;53.3646605;58.9991788
687;Магнитогорск;5825.3;1991;9;ул. Калмыкова, 3;/chelyabinskaya-oblast/magnitogorsk/486543;Челябинская обл, г Магнитогорск, ул Калмыкова, д 3;455021;Орджоникидзевский;улица;Калмыкова;73f73918-1e9e-4ef1-a2e6-83a01e5a51bb;7400000900001340004;;дом;3;;;53.3643096;59.0004511
688;Магнитогорск;3869.4;1990;9;ул. Калмыкова, 4;/chelyabinskaya-oblast/magnitogorsk/486544;Челябинская обл, г Магнитогорск, ул Калмыкова, д 4;455021;Орджоникидзевский;улица;Калмыкова;14285700-978a-4a4a-ace4-584cc00b21f5;7400000900001340002;;дом;4;;;53.3643009;58.9993293
689;Магнитогорск;13811.9;1989;9;ул. Калмыкова, 6;/chelyabinskaya-oblast/magnitogorsk/486545;Челябинская обл, г Магнитогорск, ул Калмыкова, д 6;455021;Орджоникидзевский;улица;Калмыкова;d5300864-95b4-40d3-b06e-bf79a53bcb01;7400000900001340003;;дом;6;;;53.3639605;58.9982013
690;Магнитогорск;9505;1992;9;ул. Калмыкова, 7;/chelyabinskaya-oblast/magnitogorsk/486546;Челябинская обл, г Магнитогорск, ул Калмыкова, д 7;455021;Орджоникидзевский;улица;Калмыкова;4d2749c7-5124-48f7-94f3-f2c8d323ff11;7400000900001340010;;дом;7;;;53.3620726;59.0003396
691;Магнитогорск;5844.5;1989;9;ул. Калмыкова, 8 корпус 2;/chelyabinskaya-oblast/magnitogorsk/252498;Челябинская обл, г Магнитогорск, ул Калмыкова, д 8 к 2;455021;Орджоникидзевский;улица;Калмыкова;86c13490-2360-4ad7-a554-9fabe12fda4c;7400000900001340016;;дом;8;корпус;2;53.3632575;58.9982772
692;Магнитогорск;15128.2;1990;9;ул. Калмыкова, 8 корпус 1;/chelyabinskaya-oblast/magnitogorsk/486547;Челябинская обл, г Магнитогорск, ул Калмыкова, д 8 к 1;455021;Орджоникидзевский;улица;Калмыкова;49b79310-4375-408f-b3e6-7a207a785dff;7400000900001340015;;дом;8;корпус;1;53.3632575;58.9982772
693;Магнитогорск;5890.8;1992;9;ул. Калмыкова, 9;/chelyabinskaya-oblast/magnitogorsk/252499;Челябинская обл, г Магнитогорск, ул Калмыкова, д 9;455021;Орджоникидзевский;улица;Калмыкова;f9afb887-fcb3-4f93-83b4-4c69a08e70b3;7400000900001340011;;дом;9;;;53.3603917;59.0003299
694;Магнитогорск;14165.9;1991;9;ул. Калмыкова, 10;/chelyabinskaya-oblast/magnitogorsk/486548;Челябинская обл, г Магнитогорск, ул Калмыкова, д 10;455021;Орджоникидзевский;улица;Калмыкова;5b796cbe-4834-4c82-9cb0-da0aa794243a;7400000900001340008;;дом;10;;;53.3625245;58.9980933
695;Магнитогорск;8037.8;1991;9;ул. Калмыкова, 10 корпус 1;/chelyabinskaya-oblast/magnitogorsk/486549;Челябинская обл, г Магнитогорск, ул Калмыкова, д 10 к 1;455021;Орджоникидзевский;улица;Калмыкова;593c7a6e-93c1-4b82-910d-acf9d3797a20;7400000900001340017;;дом;10;корпус;1;53.3625363;58.9979629
696;Магнитогорск;8143.4;1991;9;ул. Калмыкова, 12;/chelyabinskaya-oblast/magnitogorsk/486550;Челябинская обл, г Магнитогорск, ул Калмыкова, д 12;455021;Орджоникидзевский;улица;Калмыкова;105cd726-3f3b-498c-8029-9b2123a43c4a;7400000900001340009;;дом;12;;;53.3620737;58.9993942
697;Магнитогорск;5400.1;1991;9;ул. Калмыкова, 12 корпус 2;/chelyabinskaya-oblast/magnitogorsk/486551;Челябинская обл, г Магнитогорск, ул Калмыкова, д 12 к 2;455021;Орджоникидзевский;улица;Калмыкова;d9d6a4cc-44f2-4b67-a5a7-ecc0a77c7be1;7400000900001340019;74:33:0312001:2079;дом;12;корпус;2;53.3620737;58.9993942
698;Магнитогорск;3838.2;1993;9;ул. Калмыкова, 14;/chelyabinskaya-oblast/magnitogorsk/252500;Челябинская обл, г Магнитогорск, ул Калмыкова, д 14;455021;Орджоникидзевский;улица;Калмыкова;23434a9a-ad30-46dc-a2f2-ede5876d36b3;7400000900001340012;;дом;14;;;53.3604139;58.9994582
699;Магнитогорск;3576.2;1965;5;пр-кт Карла Маркса, 3;/chelyabinskaya-oblast/magnitogorsk/313419;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 3;455039;Ленинский;проспект;Карла Маркса;24bb4eb9-ba02-45b1-aa0c-9355c806ea1a;7400000900001370023;74:33:0123003:115;дом;3;;;53.4362474;58.9804918
700;Магнитогорск;3232.24;1963;5;пр-кт Карла Маркса, 5;/chelyabinskaya-oblast/magnitogorsk/313420;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 5;455039;Ленинский;проспект;Карла Маркса;99267ad3-5a87-4954-b368-951f728ef5f7;7400000900001370024;;дом;5;;;53.4358643;58.9797485
701;Магнитогорск;4454.4;1963;5;пр-кт Карла Маркса, 6;/chelyabinskaya-oblast/magnitogorsk/313421;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 6;455001;Ленинский;проспект;Карла Маркса;2646594a-3cee-45a8-aedf-b1f9535cc0aa;7400000900001370060;74:33:0123002:161;дом;6;;;53.4367219;58.9789944
702;Магнитогорск;1709.2;1963;4;пр-кт Карла Маркса, 7;/chelyabinskaya-oblast/magnitogorsk/313422;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 7;455039;Ленинский;проспект;Карла Маркса;c1219d2b-6250-4e89-aae0-ecbfc9e73d9c;7400000900001370025;74:33:0123003:114;дом;7;;;53.4355544;58.9803555
703;Магнитогорск;2747.8;1964;4;пр-кт Карла Маркса, 7 корпус 1;/chelyabinskaya-oblast/magnitogorsk/313423;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 7 к 1;455039;Ленинский;проспект;Карла Маркса;f0b08e9a-753d-4be2-9d5f-26a84635853a;7400000900001370026;74:33:0123003:116;дом;7;корпус;1;53.4356488;58.9804254
704;Магнитогорск;4152.3;1963;5;пр-кт Карла Маркса, 8 корпус 1;/chelyabinskaya-oblast/magnitogorsk/313424;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 8 к 1;455001;Ленинский;проспект;Карла Маркса;74f6cd67-a3a8-4623-ba17-64be204a5afe;7400000900001370062;;дом;8;корпус;1;53.4364292;58.977958
705;Магнитогорск;3275.2;1964;5;пр-кт Карла Маркса, 9;/chelyabinskaya-oblast/magnitogorsk/313425;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 9;455039;Ленинский;проспект;Карла Маркса;787a36e8-ae0e-4b5c-a49f-ec794055d40e;7400000900001370027;74:33:0129008:353;дом;9;;;53.435319;58.9798153
706;Магнитогорск;4147.77;1962;5;пр-кт Карла Маркса, 10;/chelyabinskaya-oblast/magnitogorsk/313426;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 10;455001;Ленинский;проспект;Карла Маркса;230e5400-ae3b-49a0-8105-11b25e602816;7400000900001370063;;дом;10;;;53.435893;58.978989
707;Магнитогорск;3556.67;1962;4;пр-кт Карла Маркса, 12;/chelyabinskaya-oblast/magnitogorsk/313427;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 12;455001;Ленинский;проспект;Карла Маркса;4798726a-eb1e-44db-9f10-9535b8539ae9;7400000900001370064;;дом;12;;;53.435507;58.9780398
708;Магнитогорск;2122.7;1963;5;пр-кт Карла Маркса, 12 корпус 2;/chelyabinskaya-oblast/magnitogorsk/313429;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 12 к 2;455001;Ленинский;проспект;Карла Маркса;22b1a77b-6bdb-49f2-86ed-074eece3edf8;7400000900001370066;74:33:0123002:172;дом;12;корпус;2;53.4355204;58.9780445
709;Магнитогорск;4163.4;1963;5;пр-кт Карла Маркса, 12 корпус 1;/chelyabinskaya-oblast/magnitogorsk/313428;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 12 к 1;455001;Ленинский;проспект;Карла Маркса;7732d3b9-b00a-4202-acfb-27f62a5e3b35;7400000900001370065;74:33:0123002:166;дом;12;корпус;1;53.4355204;58.9780445
710;Магнитогорск;4610.6;1953;3;пр-кт Карла Маркса, 13;/chelyabinskaya-oblast/magnitogorsk/313430;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 13;455001;Ленинский;проспект;Карла Маркса;defcc776-24b3-4f06-8b25-5794b2f970e8;7400000900001370106;74:33:0123010:188;дом;13;;;53.4337158;58.9798073
711;Магнитогорск;4480.02;1962;5;пр-кт Карла Маркса, 14;/chelyabinskaya-oblast/magnitogorsk/313431;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 14;455001;Ленинский;проспект;Карла Маркса;33ecf435-f665-4347-b817-33bb29b5a01f;7400000900001370067;74:33:0123002:169;дом;14;;;53.435137;58.979034
712;Магнитогорск;3146.4;1954;5;пр-кт Карла Маркса, 15;/chelyabinskaya-oblast/magnitogorsk/313432;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 15;455001;Ленинский;проспект;Карла Маркса;d0e3e710-dc6a-4a62-bdc8-6c03b2ad8086;7400000900001370107;74:33:0123010:190;дом;15;;;53.433179;58.980112
713;Магнитогорск;1963.9;1956;3;пр-кт Карла Маркса, 16 корпус 1;/chelyabinskaya-oblast/magnitogorsk/753721;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 16 к 1;455001;Ленинский;проспект;Карла Маркса;2e057397-6228-46ec-af13-f5e489d73703;7400000900001370069;74:33:0123010:390;дом;16;корпус;1;53.4337156;58.9790552
714;Магнитогорск;6192.44;1955;4;пр-кт Карла Маркса, 16;/chelyabinskaya-oblast/magnitogorsk/313433;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 16;455001;Ленинский;проспект;Карла Маркса;d0e7b811-5a8f-4f0f-b72b-7d37e95a2899;7400000900001370068;;дом;16;;;53.4337326;58.9790505
715;Магнитогорск;5799.09;1953;4;пр-кт Карла Маркса, 17;/chelyabinskaya-oblast/magnitogorsk/313434;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 17;455001;Ленинский;проспект;Карла Маркса;4b27942d-c34f-40ac-a27f-c37020f73f57;7400000900001370108;74:33:0123010:181;дом;17;;;53.432492;58.979878
716;Магнитогорск;5188.98;1955;5;пр-кт Карла Маркса, 18;/chelyabinskaya-oblast/magnitogorsk/313435;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 18;455001;Ленинский;проспект;Карла Маркса;347b2934-a497-4ec9-a86e-aa7175297f4a;7400000900001370071;74:33:0123010:397;дом;18;;;53.433157;58.978647
717;Магнитогорск;3334.5;1956;3;пр-кт Карла Маркса, 18 корпус 1;/chelyabinskaya-oblast/magnitogorsk/1298923;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 18 к 1;455001;Ленинский;проспект;Карла Маркса;ba9633e8-341f-40b4-b9fd-4370f2d09534;7400000900001370072;;дом;18;корпус;1;53.4331076;58.9786024
718;Магнитогорск;5652.9;1953;4;пр-кт Карла Маркса, 20;/chelyabinskaya-oblast/magnitogorsk/313437;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 20;455001;Ленинский;проспект;Карла Маркса;1b826e5f-c9e9-4357-ae26-d7dfe6d17c86;7400000900001370073;74:33:0123010:187;дом;20;;;53.4325286;58.9790744
719;Магнитогорск;2074.6;1961;5;пр-кт Карла Маркса, 22А;/chelyabinskaya-oblast/magnitogorsk/313438;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 22А;455001;Ленинский;проспект;Карла Маркса;e09bdacd-e696-417a-8185-acb3e52c510e;7400000900001370074;74:33:0123010:191;дом;22А;;;53.4312282;58.9789944
720;Магнитогорск;1820.9;1958;5;пр-кт Карла Маркса, 22;/chelyabinskaya-oblast/magnitogorsk/826473;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 22;455001;Ленинский;проспект;Карла Маркса;b4113a9b-b6b1-4bbc-a56e-ab95b545cc54;7400000900001370447;;дом;22;;;53.4316876;58.9791137
721;Магнитогорск;1977.8;1952;3;пр-кт Карла Маркса, 23;/chelyabinskaya-oblast/magnitogorsk/917835;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 23;455001;Ленинский;проспект;Карла Маркса;5a78d549-e1d4-4dfe-8903-f0ae345c79b4;7400000900001370435;74:33:0123010:197;дом;23;;;53.4316102;58.9798643
722;Магнитогорск;3547.2;1958;5;пр-кт Карла Маркса, 24;/chelyabinskaya-oblast/magnitogorsk/313439;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 24;455001;Ленинский;проспект;Карла Маркса;aaa1660b-f9d2-4707-b1a3-48099f8bfeaa;7400000900001370075;74:33:0123010:183;дом;24;;;53.4306626;58.9790694
723;Магнитогорск;1585.2;1952;3;пр-кт Карла Маркса, 25;/chelyabinskaya-oblast/magnitogorsk/917837;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 25;455001;Ленинский;проспект;Карла Маркса;6d2209c8-38bb-4b94-9a92-79c2a5693be1;7400000900001370109;74:33:0123012:161;дом;25;;;53.431172;58.98004
724;Магнитогорск;2737.3;1962;4;пр-кт Карла Маркса, 29;/chelyabinskaya-oblast/magnitogorsk/313440;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 29;455000;Ленинский;проспект;Карла Маркса;4a029569-46b9-4a7f-8e01-d1bd87fc12a3;7400000900001370029;74:33:0123012:153;дом;29;;;53.429761;58.9798607
725;Магнитогорск;3213;1959;5;пр-кт Карла Маркса, 30;/chelyabinskaya-oblast/magnitogorsk/313441;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 30;455000;Ленинский;проспект;Карла Маркса;16167952-34d6-4709-8d8e-1265575f54a8;7400000900001370076;;дом;30;;;53.4297387;58.979024
726;Магнитогорск;1910.9;1951;3;пр-кт Карла Маркса, 32;/chelyabinskaya-oblast/magnitogorsk/917849;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 32;455000;Ленинский;проспект;Карла Маркса;71af86ca-9303-44c8-aefb-5f9ecf8b3161;7400000900001370077;74:33:0123012:156;дом;32;;;53.4290651;58.9790893
727;Магнитогорск;2143.7;1952;4;пр-кт Карла Маркса, 34;/chelyabinskaya-oblast/magnitogorsk/917851;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 34;455000;Ленинский;проспект;Карла Маркса;34d1886a-e497-4cf9-bab4-3072abec19b5;7400000900001370078;74:33:0123010:393;дом;34;;;53.428618;58.97907
728;Магнитогорск;3516.3;1952;4;пр-кт Карла Маркса, 35;/chelyabinskaya-oblast/magnitogorsk/917852;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 35;455000;Ленинский;проспект;Карла Маркса;95792c04-1814-4972-9fa4-c0af8445bb3f;7400000900001370436;74:33:0123012:163;дом;35;;;53.427899;58.979914
729;Магнитогорск;2097.2;1953;4;пр-кт Карла Маркса, 36;/chelyabinskaya-oblast/magnitogorsk/917853;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 36;455000;Ленинский;проспект;Карла Маркса;c21aeac8-953a-4aaa-bd90-96f913209679;7400000900001370079;74:33:0123012:160;дом;36;;;53.42796;58.9790694
730;Магнитогорск;4804.8;1954;5;пр-кт Карла Маркса, 37;/chelyabinskaya-oblast/magnitogorsk/313443;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 37;455000;Ленинский;проспект;Карла Маркса;06d0a981-f6e9-4498-a4d7-e38704bf981d;7400000900001370031;;дом;37;;;53.4272259;58.9801785
731;Магнитогорск;2470.2;1953;4;пр-кт Карла Маркса, 38;/chelyabinskaya-oblast/magnitogorsk/313444;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 38;455000;Ленинский;проспект;Карла Маркса;edb25ccd-25f4-45c7-97a0-306097f011f9;7400000900001370080;;дом;38;;;53.4274536;58.9790893
732;Магнитогорск;2452.9;1953;4;пр-кт Карла Маркса, 40;/chelyabinskaya-oblast/magnitogorsk/313445;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 40;455000;Ленинский;проспект;Карла Маркса;152fa0d1-08a5-4d3b-8260-dbc71f4c4941;7400000900001370081;74:33:0123012:154;дом;40;;;53.4269916;58.9791137
733;Магнитогорск;3252.87;1954;4;пр-кт Карла Маркса, 42;/chelyabinskaya-oblast/magnitogorsk/313446;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 42;455000;Ленинский;проспект;Карла Маркса;a4c552ff-0595-4832-8707-af55bc7f99c4;7400000900001370459;74:33:0123012:149;дом;42;;;53.426392;58.979034
734;Магнитогорск;6388.5;1956;5;пр-кт Карла Маркса, 43;/chelyabinskaya-oblast/magnitogorsk/363539;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 43;455000;Ленинский;проспект;Карла Маркса;d2f91e5a-5c74-4a39-a614-d30e6502039f;7400000900001370032;;дом;43;;;53.425007;58.979896
735;Магнитогорск;2171;1952;3;пр-кт Карла Маркса, 44;/chelyabinskaya-oblast/magnitogorsk/923950;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 44;455000;Ленинский;проспект;Карла Маркса;f0ffbae3-2195-4e73-889a-bdb912f04e42;7400000900001370082;;дом;44;;;53.425753;58.979106
736;Магнитогорск;2693.5;1966;4;пр-кт Карла Маркса, 45;/chelyabinskaya-oblast/magnitogorsk/546224;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 45;455000;Ленинский;проспект;Карла Маркса;f189cfa6-2868-494e-b11b-5fd92da0e894;7400000900001370033;;дом;45;;;53.42358;58.979896
737;Магнитогорск;1572.1;1953;4;пр-кт Карла Маркса, 46;/chelyabinskaya-oblast/magnitogorsk/923994;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 46;455000;Ленинский;проспект;Карла Маркса;498a923b-fc68-4494-b8ec-2034f645d55a;7400000900001370083;74:33:0129001:185;дом;46;;;53.425496;58.978953
738;Магнитогорск;2391.5;1953;3;пр-кт Карла Маркса, 48;/chelyabinskaya-oblast/magnitogorsk/363543;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 48;455000;Ленинский;проспект;Карла Маркса;529ebcf2-16d5-48a1-9dfe-d991e3b94742;7400000900001370084;;дом;48;;;53.42512;58.979088
739;Магнитогорск;4218.7;1955;4;пр-кт Карла Маркса, 49;/chelyabinskaya-oblast/magnitogorsk/363544;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 49;455000;Ленинский;проспект;Карла Маркса;4f686d53-c574-44cf-b59a-d37d39245a85;7400000900001370437;;дом;49;;;53.419368;58.979914
740;Магнитогорск;2877.1;1955;4;пр-кт Карла Маркса, 51;/chelyabinskaya-oblast/magnitogorsk/363545;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 51;455000;Ленинский;проспект;Карла Маркса;ce633657-036a-4b0d-b4c9-c38bd905cfd9;7400000900001370038;;дом;51;;;53.418735;58.979914
741;Магнитогорск;1575;1959;5;пр-кт Карла Маркса, 54;/chelyabinskaya-oblast/magnitogorsk/363546;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 54;455000;Ленинский;проспект;Карла Маркса;0ca8c147-ff79-4c41-9cac-3c3e35bd5e1f;7400000900001370090;74:33:0129001:200;дом;54;;;53.41926;58.978495
742;Магнитогорск;2039.8;1958;5;пр-кт Карла Маркса, 55 корпус 1;/chelyabinskaya-oblast/magnitogorsk/924520;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 55 к 1;455023;Ленинский;проспект;Карла Маркса;772abfae-a481-411d-b399-8904903ee872;7400000900001370040;;дом;55;корпус;1;53.4173559;58.9795906
743;Магнитогорск;4042.3;—;5;пр-кт Карла Маркса, 55;/chelyabinskaya-oblast/magnitogorsk/540501;Челябинская обл, г Магнитогорск, пр-кт Карла Маркса, д 55;455023;Ленинский;проспект;Карла Маркса;e367ed41-f8bb-4f72-b975-9785466212fe;7400000900001370039;;дом;55;;;53.417291;58.9796
