number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1652,Троллейбус,Остановка,"Ст. метро ""Проспект Просвещения""","Ст. метро ""Проспект Просвещения""","Просвещения, Хошимина",21,"60.053019,30.332606"
1653,Троллейбус,Остановка,"Ст. метро ""Проспект Просвещения""","Ст. метро ""Проспект Просвещения""","проспект Просвещения, проспект Энгельса",21,"60.053320,30.333620"
1654,Троллейбус,Остановка,"Ст. метро ""Проспект Славы""","Ст. метро ""Проспект Славы""","Славы, Бухарестская","26,27,29","59.858642,30.390117"
1655,Троллейбус,Остановка,"Ст. метро ""Проспект Славы""","Ст. метро ""Проспект Славы""","проспект Славы, Бухарестская улица","26,27,29","59.859340,30.394100"
1656,Троллейбус,Остановка,"Ст. метро ""Спортивная""","Ст. метро ""Спортивная""","Добролюбова, Храмов","1,7,9,31","59.951500,30.292900"
1657,Троллейбус,Остановка,"Ст. метро ""Спортивная""","Ст. метро ""Спортивная""","Добролюбова, Блохина",7,"59.951808,30.292614"
1658,Троллейбус,Остановка,"Ст. метро ""Старая Деревня"" (посадки нет)","Ст. метро ""Старая Деревня"" (посадки нет)","Торфяная дорога, Гаккелевская улица",25.4,"59.990530,30.254950"
1659,Троллейбус,Остановка,"Ст. метро ""Старая Деревня"" (посадка)","Ст. метро ""Старая Деревня"" (посадка)","Торфяная дорога, Мебельная ул.",25.4,"59.989700,30.255200"
1660,Троллейбус,Остановка,"Ст. метро ""Технологический институт""","Ст. метро ""Технологический институт""","Московский проспект, 2-я Красноармейская улица",15.17,"59.914990,30.318390"
1661,Троллейбус,Остановка,"Ст. метро ""Технологический институт""","Ст. метро ""Технологический институт""","Загородный проспект, Серпуховская улица","3,8,15,17","59.917689,30.320322"
1662,Троллейбус,Остановка,"Ст. метро ""Технологический институт""","Ст. метро ""Технологический институт""","1-я Красноармейская улица, 2-я Красноармейская улица",3.8,"59.916000,30.316070"
1663,Троллейбус,Остановка,"Ст. метро ""Улица Дыбенко""","Ст. метро ""Улица Дыбенко""","Большевиков, Дыбенко",28.43,"59.907200,30.482500"
1664,Троллейбус,Остановка,"Ст. метро ""Улица Дыбенко""","Ст. метро ""Улица Дыбенко""","проспект Большевиков, улица Дыбенко","14,27,28","59.906030,30.482990"
1665,Троллейбус,Остановка,"Ст. метро ""Улица Дыбенко""","Ст. метро ""Улица Дыбенко""","ул. Дыбенко, проспект Большевиков","14,27,43","59.906670,30.483300"
1666,Троллейбус,Остановка,"Ст. метро ""Фрунзенская""","Ст. метро ""Фрунзенская""","Московский проспект, Смоленская улица",15.17,"59.905500,30.318200"
1667,Троллейбус,Остановка,"Ст. метро ""Чернышевская""","Ст. метро ""Чернышевская""","Кирочная, Мелитопольский",15,"59.943800,30.362558"
1668,Троллейбус,Остановка,"Ст. метро ""Чёрная речка""","Ст. метро ""Чёрная речка""","Черной речки, Торжковская",6,"59.987231,30.302506"
1669,Троллейбус,Остановка,"Ст. метро ""Чёрная речка""","Ст. метро ""Чёрная речка""","Академика Крылова, Чернореченский мост",34,"59.985200,30.301300"
1670,Троллейбус,Остановка,"Ст. метро ""Чёрная речка""","Ст. метро ""Чёрная речка""","улица Академика Крылова, Приморский проспект",34,"59.984880,30.301730"
1671,Троллейбус,Остановка,"Ст. метро ""Электросила""","Ст. метро ""Электросила""","Московский, Решетникова","17,24,26,44","59.879300,30.319458"
1672,Троллейбус,Остановка,"Ст. метро ""Электросила""","Ст. метро ""Электросила""","Московский, Мариинская","15,17,24,26,44","59.879300,30.320300"
1673,Троллейбус,Остановка,"Ст. метро ""Электросила""","Ст. метро ""Электросила""","Московский, Решетникова",36.39,"59.877775,30.320350"
1674,Троллейбус,Остановка,"Ст. метро ""Электросила""","Ст. метро ""Электросила""","Московский проспект, Мариинская улица",15,"59.881173,30.319496"
1675,Троллейбус,Остановка,"Стадион ""Петровский""","Стадион ""Петровский""","Ждановская, Офицерский",7,"59.954381,30.286014"
1676,Троллейбус,Остановка,"Стадион ""Петровский""","Стадион ""Петровский""","Ждановская, Офицерский",7,"59.954558,30.286225"
1677,Троллейбус,Остановка,"Стадион ""Петровский""","Стадион ""Петровский""","Большой пр. П.С., Ждановская",1.9,"59.951700,30.288900"
1678,Троллейбус,Остановка,Стародеревенская ул.,Стародеревенская ул.,"Богатырский проспект, Стародеревенская улица",23,"60.002750,30.244520"
1679,Троллейбус,Остановка,Стародеревенская ул.,Стародеревенская ул.,"Богатырский проспект, Стародеревенская улица",23,"60.002190,30.246330"
1680,Троллейбус,Остановка,Студенческая ул.,Студенческая ул.,"Ланское, Студенческая",6.34,"59.996464,30.322236"
1681,Троллейбус,Остановка,Студенческая ул.,Студенческая ул.,"Ланское, Ланская",6.34,"59.996622,30.323414"
1682,Троллейбус,Остановка,Суворовский пр.,Суворовский пр.,"Суворовский проспект, Тульская улица","5,7,11,15,16","59.944480,30.386300"
1683,Троллейбус,Остановка,Суворовский пр.,Суворовский пр.,"Невский проспект, Суворовский проспект","1,10,16,22,33","59.930190,30.367360"
1684,Троллейбус,Остановка,Суворовский пр. .,Суворовский пр.,"Кирочная, Суворовский",15,"59.942500,30.380300"
1685,Троллейбус,Остановка,Суворовский пр. / Невский пр.,Суворовский пр. / Невский пр.,"Невский, Бакунина","1,10,16,22","59.929570,30.368300"
1686,Троллейбус,Остановка,Суздальский пр.,Суздальский пр.,"Светлановский проспект, Суздальский проспект",13.4,"60.046310,30.404910"
1687,Троллейбус,Остановка,Суздальский пр.,Суздальский пр.,"Суздальский пр., Гражданский пр.",6.38,"60.043520,30.426480"
1688,Троллейбус,Остановка,Суздальский пр.,Суздальский пр.,"Суздальский пр., Светлановский пр.",6.38,"60.047367,30.406600"
1689,Троллейбус,Остановка,Сызранская ул.,Сызранская ул.,"Сызранская, Решетникова",36.39,"59.878275,30.336242"
1690,Троллейбус,Остановка,Сызранская ул. (посадки нет),Сызранская ул. (посадки нет),"улица Решетникова, Сызранская улица",15,"59.878890,30.335770"
1691,Троллейбус,Остановка,Таллинская ул.,Таллинская ул.,"Новочеркасский проспект, Таллинская улица",7,"59.925030,30.415580"
1692,Троллейбус,Остановка,Таллинская ул.,Таллинская ул.,"Новочеркасский, Таллинская",33,"59.924453,30.416303"
1693,Троллейбус,Остановка,"Театр ""За Чёрной речкой""","Театр ""За Чёрной речкой""",Богатырский проспект,25.4,"59.999710,30.290500"
1694,Троллейбус,Остановка,"Театр ""За Чёрной речкой""","Театр ""За Чёрной речкой""",Богатырский,40,"59.999958,30.289744"
1695,Троллейбус,Остановка,Тимуровская ул.,Тимуровская ул.,"Светлановский, Тимуровская",13.4,"60.044494,30.403075"
1696,Троллейбус,Остановка,Тимуровская ул.,Тимуровская ул.,"Светлановский, Тимуровская",13.4,"60.044039,30.401953"
1697,Троллейбус,Остановка,Тихорецкий пр.,Тихорецкий пр.,"Светлановский проспект, Тихорецкий проспект",40,"60.018410,30.366130"
1698,Троллейбус,Остановка,Тихорецкий пр.,Тихорецкий пр.,"Тихорецкий пр., проспект Раевского",34.5,"60.011500,30.368200"
1699,Троллейбус,Остановка,"Тихорецкий пр., 6","Тихорецкий пр., 6","Тихорецкий, Раевского",34.5,"60.012000,30.368980"
1700,Троллейбус,Остановка,"Тихорецкий пр., 7","Тихорецкий пр., 7","Тихорецкий, Раевского","4,13,21","60.013000,30.368800"
1701,Троллейбус,Остановка,"Тихорецкий пр., 7","Тихорецкий пр., 7","Тихорецкий проспект, Яшумов переулок","4,13,21","60.013093,30.368400"
1702,Троллейбус,Остановка,Товарищеский пр.,Товарищеский пр.,"Подвойского, Товарищеский",28.33,"59.915000,30.484200"
1703,Троллейбус,Остановка,Товарищеский пр.,Товарищеский пр.,"Подвойского, Товарищеский",28.33,"59.915200,30.485900"
1704,Троллейбус,Остановка,Товарищеский пр.,Товарищеский пр.,"улица Дыбенко, Товарищеский проспект","14,27,43","59.908730,30.491920"
1705,Троллейбус,Остановка,Товарищеский пр.,Товарищеский пр.,"ул. Дыбенко, Товарищеский проспект","14,27,43","59.908610,30.490160"
1706,Троллейбус,Остановка,"Торговый комплекс ""Лента""","Торговый комплекс ""Лента""",Хасанская ул.,22,"59.935550,30.495230"
1707,Троллейбус,Остановка,"Торговый комплекс ""Лента""","Торговый комплекс ""Лента""",Хасанская ул.,22,"59.935720,30.494810"
1708,Троллейбус,Остановка,Торговый центр,Торговый центр,проспект Ветеранов,"20,29,37,44,46","59.837890,30.232350"
1709,Троллейбус,Остановка,Торговый центр,Торговый центр,проспект Космонавтов,24.26,"59.860640,30.349140"
1710,Троллейбус,Остановка,Торговый центр,Торговый центр,Ветеранов,"20,29,37,44,46","59.837739,30.231336"
1711,Троллейбус,Остановка,Торговый центр,Торговый центр,"проспект Космонавтов, улица Титова",24.26,"59.860310,30.348920"
1712,Троллейбус,Остановка,Травматология,Травматология,"улица Генерала Хрулёва, Аэродромная улица",25,"59.995740,30.294950"
1713,Троллейбус,Остановка,Трамвайный парк № 1,Трамвайный парк № 1,"Московский проспект, Малая Митрофаньевская улица",15.17,"59.897620,30.319433"
1714,Троллейбус,Остановка,Трамвайный парк № 1,Трамвайный парк № 1,"Московский, Митрофаньевская М.",15.17,"59.898100,30.318600"
1715,Троллейбус,Остановка,Трамвайный пр.,Трамвайный пр.,"улица Зины Портновой, Трамвайный проспект",20,"59.856500,30.256500"
1716,Троллейбус,Остановка,Троицкий пр.,Троицкий пр.,"Троицкий, Лермонтовский",3.8,"59.915781,30.298294"
1717,Троллейбус,Остановка,Троллейбусный парк N 2 (посадка),Троллейбусный парк N 2 (посадка),"Арсенальная улица, Минеральная улица",8,"59.967830,30.365970"
1718,Троллейбус,Остановка,Троллейбусный парк N 2 (посадки нет),Троллейбусный парк N 2 (посадки нет),Арсенальная улица,8,"59.968180,30.366220"
1719,Троллейбус,Остановка,Троллейбусный парк N 3,Троллейбусный парк N 3,"Книпович, Седова",14.16,"59.904167,30.390278"
1720,Троллейбус,Остановка,Троллейбусный парк N 3,Троллейбусный парк N 3,"Седова, Книпович",14,"59.903558,30.390667"
1721,Троллейбус,Остановка,Тульская ул.,Тульская ул.,"Тульская, Ярославская","7,16,33","59.944253,30.387897"
1722,Троллейбус,Остановка,Тульская ул.,Тульская ул.,"Суворовский проспект, Тульская улица","5,11,15","59.944200,30.386480"
1723,Троллейбус,Остановка,Туристская ул.,Туристская ул.,"Богатырский проспект, Туристская улица",23,"60.007030,30.211310"
1724,Троллейбус,Остановка,Туристская ул.,Туристская ул.,"Туристская улица, улица Оптиков",23,"60.001680,30.210070"
1725,Троллейбус,Остановка,Удельный парк,Удельный парк,"Испытателей, Богатырский",40.5,"60.001956,30.307125"
1726,Троллейбус,Остановка,Удельный парк,Удельный парк,"Богатырский, Фермское",40.5,"60.001583,30.310189"
1727,Троллейбус,Остановка,Ул. Адмирала Коновалова,Ул. Адмирала Коновалова,"улица Адмирала Трибуца, улица Адмирала Коновалова",41,"59.849245,30.146868"
1728,Троллейбус,Остановка,Ул. Адмирала Трибуца,Ул. Адмирала Трибуца,"улица Адмирала Трибуца, проспект Героев",41,"59.857362,30.146912"
1729,Троллейбус,Остановка,Ул. Адмирала Трибуца,Ул. Адмирала Трибуца,"проспект Героев, улица Адмирала Трибуца",41,"59.857550,30.147889"
1730,Троллейбус,Остановка,Ул. Адмирала Черокова,Ул. Адмирала Черокова,"улица Адмирала Черокова, улица Капитана Грищенко",41,"59.850333,30.133469"
1731,Троллейбус,КП,"Ул. Адмирала Черокова, 59","Ул. Адмирала Черокова, 59","Петергофское шоссе, улица Адмирала Черокова",41,"59.848082,30.134329"
1732,Троллейбус,Остановка,Ул. Академика Байкова,Ул. Академика Байкова,"Светлановский проспект, улица Академика Байкова",13.4,"60.024900,30.382150"
1733,Троллейбус,Остановка,Ул. Академика Байкова,Ул. Академика Байкова,"Светлановский проспект, улица Академика Байкова",13.4,"60.024890,30.382820"
1734,Троллейбус,Остановка,Ул. Академика Байкова,Ул. Академика Байкова,"Тихорецкий, Академика Байкова",4.21,"60.029600,30.364900"
1735,Троллейбус,Остановка,Ул. Академика Байкова,Ул. Академика Байкова,"Тихорецкий проспект, улица Академика Байкова",4.21,"60.029540,30.365580"
1736,Троллейбус,Остановка,Ул. Академика Павлова,Ул. Академика Павлова,"Каменноостровский, Академика Павлова",34,"59.976078,30.302669"
1737,Троллейбус,Остановка,Ул. Академика Павлова,Ул. Академика Павлова,"Каменноостровский, Академика Павлова",34,"59.976200,30.302900"
1738,Троллейбус,Остановка,Ул. Академика Павлова,Ул. Академика Павлова,"Медиков, Академика Павлова",31,"59.974717,30.316722"
1739,Троллейбус,Остановка,Ул. Академика Павлова,Ул. Академика Павлова,"Медиков, Академика Павлова",31,"59.975031,30.317386"
1740,Троллейбус,Остановка,Ул. Александра Невского,Ул. Александра Невского,"Херсонская, Александра Невского",14.16,"59.926611,30.387417"
1741,Троллейбус,Остановка,Ул. Антонова-Овсеенко,Ул. Антонова-Овсеенко,"проспект Большевиков, улица Антонова-Овсеенко",28.43,"59.911120,30.478890"
1742,Троллейбус,Остановка,Ул. Антонова-Овсеенко,Ул. Антонова-Овсеенко,"Большевиков, Антонова-Овсеенко",28.43,"59.910500,30.478800"
1743,Троллейбус,Остановка,Ул. Бабушкина,Ул. Бабушкина,"Ивановская, Бабушкина",27.28,"59.875472,30.443811"
1744,Троллейбус,Остановка,Ул. Белы Куна,Ул. Белы Куна,"улица Белы Куна, Софийская площадь",35,"59.877500,30.396000"
1745,Троллейбус,Остановка,Ул. Белы Куна,Ул. Белы Куна,"Белы Куна ул., Будапештская ул.",35.36,"59.867810,30.371560"
1746,Троллейбус,Остановка,Ул. Белы Куна / Будапештская ул.,Ул. Белы Куна / Будапештская ул.,"Будапештская, Турку",36.39,"59.868614,30.370244"
1747,Троллейбус,Остановка,Ул. Белы Куна / Пражская ул.,Ул. Белы Куна / Пражская ул.,"Пражская, Белы Куна",36,"59.873920,30.389110"
1748,Троллейбус,Остановка,Ул. Белышева,Ул. Белышева,"улица Коллонтай, улица Джона Рида",33,"59.915089,30.449959"
1749,Троллейбус,Остановка,Ул. Белышева,Ул. Белышева,"улица Коллонтай, улица Белышева",33,"59.915371,30.452657"
1750,Троллейбус,Остановка,Ул. Беринга,Ул. Беринга,"Малый пр. В.О., Беринга",9,"59.938600,30.244200"
1751,Троллейбус,Остановка,Ул. Бурцева,Ул. Бурцева,"Маршала Жукова, Бурцева",48,"59.836800,30.200100"
1752,Троллейбус,Остановка,Ул. Бурцева,Ул. Бурцева,"Маршала Жукова, Бурцева",48,"59.836500,30.199100"
1753,Троллейбус,Остановка,Ул. Васи Алексеева,Ул. Васи Алексеева,"улица Васи Алексеева, проспект Стачек",41.48,"59.879819,30.263069"
1754,Троллейбус,Остановка,Ул. Ватутина,Ул. Ватутина,"Кондратьевский, Ватутина",3.38,"59.962930,30.379830"
1755,Троллейбус,Остановка,Ул. Ватутина,Ул. Ватутина,"Кондратьевский, Ватутина",3.38,"59.963810,30.380130"
1756,Троллейбус,Остановка,Ул. Ватутина,Ул. Ватутина,"Минеральная улица, улица Ватутина",43,"59.965680,30.372610"
1757,Троллейбус,Остановка,Ул. Ватутина,Ул. Ватутина,"Минеральная ул., Ватутина ул.",43,"59.965630,30.374560"
1758,Троллейбус,Остановка,Ул. Верности,Ул. Верности,"Гражданский, Верности",6.31,"60.009489,30.393925"
1759,Троллейбус,Остановка,Ул. Верности,Ул. Верности,"Гражданский проспект, улица Верности",6.31,"60.010180,30.395000"
1760,Троллейбус,Остановка,Ул. Верности,Ул. Верности,"улица Руставели, Пискарёвский проспект","16,18,38","59.997833,30.437860"
1761,Троллейбус,Остановка,Ул. Верности,Ул. Верности,"улица Руставели, Пискарёвский проспект","16,18,38","59.997300,30.437430"
1762,Троллейбус,Остановка,Ул. Возрождения,Ул. Возрождения,"проспект Стачек, улица Возрождения",20,"59.883470,30.264990"
1763,Троллейбус,Остановка,Ул. Возрождения,Ул. Возрождения,"проспект Стачек, улица Возрождения",20,"59.883000,30.264000"
1764,Троллейбус,Остановка,Ул. Генерала Кравченко,Ул. Генерала Кравченко,,46,"59.837572,30.104124"
1765,Троллейбус,Остановка,ул. Генерала Кравченко,ул. Генерала Кравченко,,46,"59.837914,30.103337"
1766,Троллейбус,Остановка,Ул. Генерала Симоняка,Ул. Генерала Симоняка,"Ветеранов, Генерала Симоняка","20,37,44,46","59.833100,30.205200"
1767,Троллейбус,Остановка,Ул. Генерала Симоняка,Ул. Генерала Симоняка,"Ветеранов, Генерала Симоняка","20,37,44,46","59.833200,30.203300"
1768,Троллейбус,КП,"Ул. Генерала Хрулева (оборотная, посадки/высадки нет)","Ул. Генерала Хрулева (оборотная, посадки/высадки нет)","улица Генерала Хрулёва, Аэродромная улица",25,"59.995019,30.287726"
1769,Троллейбус,Остановка,Ул. Гидротехников,Ул. Гидротехников,"Гражданский, Гидротехников",6.31,"60.006703,30.391539"
1770,Троллейбус,Остановка,Ул. Гидротехников,Ул. Гидротехников,"Гражданский проспект, улица Гидротехников",6.31,"60.006270,30.390640"
1771,Троллейбус,Остановка,Ул. Десантников,Ул. Десантников,"Ленинский проспект, улица Десантников","32,35,41,45","59.855860,30.204640"
1772,Троллейбус,Остановка,Ул. Десантников,Ул. Десантников,"Ленинский проспект, улица Десантников","32,35,41,45","59.855850,30.203380"
1773,Троллейбус,Остановка,Ул. Димитрова,Ул. Димитрова,"Будапештская, Димитрова",39,"59.849000,30.386400"
1774,Троллейбус,Остановка,Ул. Димитрова,Ул. Димитрова,"Будапештская, Димитрова",39,"59.847700,30.387300"
1775,Троллейбус,Остановка,Ул. Доблести,Ул. Доблести,"Ленинский проспект, улица Доблести","32,35,41,45","59.860800,30.181220"
1776,Троллейбус,Остановка,Ул. Доблести,Ул. Доблести,"ул. Доблести, Ленинский проспект",48,"59.860782,30.178647"
1777,Троллейбус,Остановка,Ул. Доблести / Ленинский пр.,Ул. Доблести / Ленинский пр.,"Ленинский проспект, улица Доблести","32,35,41,45,48","59.861690,30.178960"
1778,Троллейбус,Остановка,"Ул. Доблести, 24","Ул. Доблести, 24","улица Доблести, улица Маршала Захарова",48,"59.856006,30.176408"
1779,Троллейбус,Остановка,Ул. Добровольцев,Ул. Добровольцев,"проспект Ветеранов, улица Добровольцев",37.46,"59.833050,30.165897"
1780,Троллейбус,Остановка,Ул. Добровольцев,Ул. Добровольцев,"проспект Ветеранов, улица Добровольцев",37.46,"59.833456,30.164342"
1781,Троллейбус,Остановка,Ул. Еремеева,Ул. Еремеева,Дальневосточный,33,"59.916489,30.429953"
1782,Троллейбус,Остановка,Ул. Еремеева,Ул. Еремеева,Дальневосточный,33,"59.916264,30.429569"
1783,Троллейбус,Остановка,Ул. Есенина,Ул. Есенина (посадка),"Придорожная аллея, Есенина ул.",4,"60.058056,30.347833"
1784,Троллейбус,Остановка,Ул. Есенина,Ул. Есенина,"улица Есенина, Придорожная аллея",13,"60.057780,30.346920"
1785,Троллейбус,Остановка,Ул. Есенина,Ул. Есенина,"Есенина, Лиственная",13,"60.025836,30.325686"
1786,Троллейбус,Остановка,Ул. Есенина,Ул. Есенина,"проспект Просвещения, улица Есенина",21,"60.051120,30.342370"
1787,Троллейбус,Остановка,Ул. Есенина,Ул. Есенина,"Просвещения, Есенина",21,"60.051728,30.341250"
1788,Троллейбус,Остановка,Ул. Есенина,Ул. Есенина (высадка),"Придорожная, Есенина",4,"60.058500,30.347300"
1789,Троллейбус,Остановка,Ул. Жака Дюкло,Ул. Жака Дюкло,"Курчатова, Жака Дюкло",34,"60.008200,30.360500"
1790,Троллейбус,Остановка,Ул. Жака Дюкло,Ул. Жака Дюкло,"улица Жака Дюкло, улица Курчатова",50,"60.009420,30.360200"
1791,Троллейбус,Остановка,Ул. Жака Дюкло,Ул. Жака Дюкло,"Светлановский проспект, улица Жака Дюкло",40,"60.013430,30.354150"
1792,Троллейбус,Остановка,Ул. Жака Дюкло / Светлановский пр.,Ул. Жака Дюкло / Светлановский пр.,"Светлановский пр., ул. Жака Дюкло",40.5,"60.013033,30.352775"
1793,Троллейбус,Остановка,"Ул. Жака Дюкло, 8","Ул. Жака Дюкло, 8","ул. Жака Дюкло, Воронцов пер.",50,"60.011217,30.357100"
1794,Троллейбус,Остановка,"Ул. Жака Дюкло, 8","Ул. Жака Дюкло, 8","ул. Жака Дюкло, Воронцов пер.",50,"60.011740,30.356060"
1795,Троллейбус,Остановка,Ул. Жени Егоровой,Ул. Жени Егоровой,"улица Прокофьева, улица Жени Егоровой",21,"60.064050,30.316410"
1796,Троллейбус,Остановка,Ул. Жени Егоровой,Ул. Жени Егоровой (высадка),"Прокофьева, Жени Егоровой",21,"60.064539,30.313939"
1797,Троллейбус,Остановка,Ул. Жукова,Ул. Жукова,"Кондратьевский проспект, улица Жукова","3,38,43","59.968490,30.384570"
1798,Троллейбус,Остановка,Ул. Жукова,Ул. Жукова,"Кондратьевский проспект, улица Жукова","3,38,43","59.968120,30.384570"
1799,Троллейбус,Остановка,Ул. Жуковского,Ул. Жуковского,"Литейный, Жуковского","3,8,15","59.935275,30.348283"
1800,Троллейбус,Остановка,Ул. Жуковского,Ул. Жуковского,"Литейный, Жуковского","3,8,15","59.937128,30.347981"
1801,Троллейбус,Остановка,Ул. Зайцева,Ул. Зайцева,"проспект Стачек, дорога на Турухтанные острова",20,"59.870410,30.259410"
1802,Троллейбус,Остановка,Ул. Зайцева,Ул. Зайцева,"улица Васи Алексеева, улица Зайцева",41.48,"59.877800,30.271400"
1803,Троллейбус,Остановка,Ул. Зины Портновой,Ул. Зины Портновой,"Зины Портновой, Трамвайный",20,"59.856200,30.256200"
1804,Троллейбус,Остановка,Ул. Зины Портновой,Ул. Зины Портновой,"Ленинский проспект, улица Зины Портновой","32,35,45","59.852000,30.255220"
1805,Троллейбус,Остановка,Ул. Зины Портновой / Ленинский пр.,Ул. Зины Портновой / Ленинский пр.,"Ленинский, Зины Портновой","29,32,35,44,45,46","59.851744,30.257369"
1806,Троллейбус,Остановка,Ул. Ивана Фомина,Ул. Ивана Фомина,"проспект Просвещения, улица Ивана Фомина",21,"60.050030,30.347880"
1807,Троллейбус,Остановка,Ул. Ивана Фомина,Ул. Ивана Фомина,"проспект Просвещения, улица Ивана Фомина",21,"60.050630,30.346780"
1808,Троллейбус,Остановка,Ул. Капитана Грищенко,Ул. Капитана Грищенко,"Петергофское шоссе, улица Капитана Грищенко",41,"59.847948,30.140919"
1809,Троллейбус,Остановка,Ул. Карбышева,Ул. Карбышева,"Новороссийская, Карбышева",6,"59.994467,30.355100"
1810,Троллейбус,Остановка,Ул. Карбышева,Ул. Карбышева,"Карбышева, Мужества",6,"59.997567,30.361914"
1811,Троллейбус,Остановка,Ул. Карпинского,Ул. Карпинского,"Науки пр., ул. Карпинского",38,"60.006300,30.424133"
1812,Троллейбус,Остановка,Ул. Карпинского,Ул. Карпинского,"Науки пр., ул. Карпинского",38,"60.007067,30.421916"
1813,Троллейбус,Остановка,Ул. Катерников,Ул. Катерников,"проспект Героев, улица Катерников",41,"59.858572,30.154052"
1814,Троллейбус,Остановка,Ул. Катерников,Ул. Катерников,"проспект Героев, улица Катерников",41,"59.858542,30.154884"
1815,Троллейбус,Остановка,Ул. Книпович,Ул. Книпович,"улица Книпович, улица 2-й Луч",14,"59.908290,30.397260"
1816,Троллейбус,Остановка,Ул. Книпович,Ул. Книпович,"Хрустальная, Книпович",16,"59.909500,30.402581"
1817,Троллейбус,Остановка,Ул. Козлова,Ул. Козлова,"проспект Ветеранов, улица Козлова","20,29,37,44,46","59.835060,30.223370"
1818,Троллейбус,Остановка,Ул. Козлова,Ул. Козлова,"проспект Ветеранов, улица Козлова","20,29,37,44,46","59.834840,30.222030"
1819,Троллейбус,Остановка,ул. Коллонтай,ул. Коллонтай,"Коллонтай, Дальневосточный",33,"59.912530,30.440600"
1820,Троллейбус,Остановка,Ул. Коммуны,Ул. Коммуны,"Коммуны, Косыгина",22,"59.944500,30.505100"
1821,Троллейбус,Остановка,"Ул. Коммуны, 10","Ул. Коммуны, 10","Коммуны, Хасанская",22,"59.936500,30.503800"
1822,Троллейбус,Остановка,"Ул. Коммуны, 10","Ул. Коммуны, 10","Коммуны, Хасанская",22,"59.936317,30.503378"
1823,Троллейбус,Остановка,Ул. Композиторов,Ул. Композиторов,"Композиторов, Прокофьева",21,"60.062794,30.318911"
1824,Троллейбус,Остановка,Ул. Композиторов,Ул. Композиторов,"Композиторов, Просвещения",21,"60.057606,30.314989"
1825,Троллейбус,Остановка,"Ул. Композиторов, 29","Ул. Композиторов, 29",Композиторов,21,"60.060917,30.317678"
1826,Троллейбус,Остановка,"Ул. Композиторов, 29","Ул. Композиторов, 29",улица Композиторов,21,"60.060683,30.317182"
1827,Троллейбус,Остановка,Ул. Комсомола,Ул. Комсомола,"Комсомола ул., Арсенальная ул.","3,8,38,43","59.956070,30.372510"
1828,Троллейбус,Остановка,Ул. Комсомола,Ул. Комсомола,"Академика Лебедева, Клиническая",3.8,"59.954975,30.350697"
1829,Троллейбус,Остановка,Ул. Кораблестроителей,Ул. Кораблестроителей,"Кораблестроителей, Нахимова",9.11,"59.940300,30.218000"
1830,Троллейбус,Остановка,Ул. Кораблестроителей,Ул. Кораблестроителей,"Кораблестроителей, Морская",9.11,"59.955700,30.234700"
1831,Троллейбус,Остановка,"Ул. Кораблестроителей, 35","Ул. Кораблестроителей, 35","Кораблестроителей, Адмиральский",9.11,"59.956178,30.225386"
1832,Троллейбус,Остановка,"Ул. Кораблестроителей, 35","Ул. Кораблестроителей, 35","Кораблестроителей, Адмиральский",9.11,"59.956400,30.224300"
1833,Троллейбус,Остановка,"Ул. Кораблестроителей, 50 (посадка)","Ул. Кораблестроителей, 50 (посадка)","Наличная улица, улица Кораблестроителей","9,10,11","59.956052,30.235182"
1834,Троллейбус,КП,"Ул. Костюшко (оборотная, посадки/высадки нет)","Ул. Костюшко (оборотная, посадки/высадки нет)","улица Костюшко, 1-й Предпортовый проезд",17,"59.841810,30.308910"
1835,Троллейбус,Остановка,Ул. Костюшко (посадка),Ул. Костюшко (посадка),"Галстяна, Предпортовый 5-й",17,"59.841260,30.309900"
1836,Троллейбус,Остановка,Ул. Костюшко (посадки нет),Ул. Костюшко (посадки нет),"улица Костюшко, 5-й Предпортовый проезд",17,"59.841400,30.311580"
1837,Троллейбус,Остановка,Ул. Котина,Ул. Котина,"Ленинский пр., Котина ул.","32,35,41,45","59.854900,30.208508"
1838,Троллейбус,Остановка,Ул. Котина,Ул. Котина,"Ленинский пр., Котина ул.","32,35,41,45","59.854360,30.209890"
1839,Троллейбус,Остановка,Ул. Красного Курсанта,Ул. Красного Курсанта,"Большой пр. П.С., Красного Курсанта","1,9,31","59.954300,30.293200"
1840,Троллейбус,Остановка,Ул. Красного Текстильщика,Ул. Красного Текстильщика,"Тульская, Текстильщиков ул.","7,16,33","59.942675,30.393564"
1841,Троллейбус,Остановка,Ул. Красного Текстильщика,Ул. Красного Текстильщика,"Тульская, Текстильщиков ул.",7.16,"59.942994,30.394908"
1842,Троллейбус,Остановка,Ул. Крупской,Ул. Крупской,"Седова, Дудко",14,"59.886331,30.423331"
1843,Троллейбус,Остановка,Ул. Крупской,Ул. Крупской,"Седова, Крупской",14,"59.888561,30.420822"
1844,Троллейбус,Остановка,Ул. Крыленко,Ул. Крыленко,"Большевиков, Крыленко","14,27,28","59.900822,30.488528"
1845,Троллейбус,Остановка,Ул. Крыленко,Ул. Крыленко,"Большевиков, Крыленко","14,27,28","59.899410,30.489230"
1846,Троллейбус,Остановка,Ул. Курчатова,Ул. Курчатова,"Курчатова, Жака Дюкло",34.5,"60.008340,30.362550"
1847,Троллейбус,Остановка,Ул. Ленина,Ул. Ленина,"Большой пр. П.С., Ленина","1,9,31","59.961553,30.304953"
