number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
5708,Автобус,Остановка,"СУПЕРМАРКЕТ ""О' КЕЙ"" [13, 13А, 39, 90, 187]<","СУПЕРМАРКЕТ ""О' КЕЙ""",Пулковское ш.,"13,13А,39,90,150,155,187,301","59.827797,30.323115"
5709,Автобус,Остановка,СЧАСТЛИВАЯ УЛ.,СЧАСТЛИВАЯ УЛ. (ПОСАДКА),"ул. Счастливая, пр. Народного Ополчения","68,81,114,142,160,162,195","59.842974,30.276179"
5710,Автобус,Остановка,СЧАСТЛИВАЯ УЛ.,СЧАСТЛИВАЯ УЛ.,"Счастливая улица, проспект Народного Ополчения",160.195,"59.843380,30.275480"
5711,Автобус,Остановка,СЧАСТЛИВАЯ УЛ.,СЧАСТЛИВАЯ УЛ.,"Новаторов бул., Счастливая ул.","18,18А,142","59.846170,30.270596"
5712,Автобус,Остановка,СЧАСТЛИВАЯ УЛ. (ВЫСАДКА),СЧАСТЛИВАЯ УЛ. (ВЫСАДКА),"ул. Счастливая, пр. Народного Ополчения","68,73,81,114,142,162","59.843549,30.276997"
5713,Автобус,Остановка,СЧАСТЛИВАЯ УЛ. (ПОСАДКА),СЧАСТЛИВАЯ УЛ.,"пр. Народного Ополчения, ул. Счастливая",73,"59.843671,30.277607"
5714,Автобус,Остановка,СЧАСТЛИВАЯ УЛ. УГ. БУЛЬВ.НОВАТОРОВ,СЧАСТЛИВАЯ УЛ. УГ. БУЛЬВ.НОВАТОРОВ,"Счастливая ул., Новаторов бул.",160.195,"59.845855,30.270263"
5715,Автобус,Остановка,СЫЗРАНСКАЯ УЛ.,СЫЗРАНСКАЯ УЛ.,"ул. Благодатная, ул. Сызранская","12,36,95,159","59.876281,30.338038"
5716,Автобус,Остановка,"СЫЗРАНСКАЯ УЛ. [12, 29, 95]",СЫЗРАНСКАЯ УЛ.,"Благодатная улица, проспект Юрия Гагарина","12,36,95,159","59.876238,30.334329"
5717,Автобус,Остановка,СЫТНИНСКАЯ УЛ.,СЫТНИНСКАЯ УЛ.,"Кронверкская улица, улица Воскова",14,"59.958559,30.312363"
5718,Автобус,Остановка,СЫТНЫЙ РЫНОК,СЫТНЫЙ РЫНОК,"улица Воскова, Кронверкская улица",14,"59.958647,30.311666"
5719,Автобус,Остановка,СЫТНЫЙ РЫНОК,СЫТНЫЙ РЫНОК,"Кронверкский пр., ул. Кронверкская",14,"59.956816,30.312460"
5720,Автобус,Остановка,"ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""","ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""",Таллинское шоссе,"20,81,108,145,145А,165,195,481,482,482В,484,487","59.807365,30.165370"
5721,Автобус,Остановка,"ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""","ТАЛЛИННСКОЕ ШОССЕ, 159, ТЦ ""ЛЕНТА""",Таллинское шоссе,"20,81,108,145,145А,165,195,481,482,482В,484,487","59.807535,30.166041"
5722,Автобус,Остановка,ТАЛЛИНСКАЯ УЛ.,ТАЛЛИНСКАЯ УЛ.,"Новочеркасский пр., ул. Таллинская",191,"59.924375,30.416373"
5723,Автобус,Остановка,ТАЛЛИНСКАЯ УЛ. []<,ТАЛЛИНСКАЯ УЛ.,"Новочеркасский пр., Таллинская ул.",5,"59.925066,30.415542"
5724,Автобус,Остановка,"ТАЛЛИНСКАЯ УЛ., УГ. МАЛООХТИНСКОГО ПР.","ТАЛЛИНСКАЯ УЛ., УГ. МАЛООХТИНСКОГО ПР.","Таллинская улица, улица Громова",5,"59.922463,30.408680"
5725,Автобус,Остановка,"ТАЛЛИНСКАЯ УЛ., УГ. МАЛООХТИНСКОГО ПР. []","ТАЛЛИНСКАЯ УЛ., УГ. МАЛООХТИНСКОГО ПР.","Таллинская ул., Малоохтинский пр.",5,"59.921947,30.407699"
5726,Автобус,Остановка,ТАМБОВСКАЯ УЛ.,ТАМБОВСКАЯ УЛ.,"ул. Расстанная, ул. Тамбовская","54,91,141","59.906440,30.350793"
5727,Автобус,Остановка,ТАНКОВЫЙ ВОЕННЫЙ ГОРОДОК,ТАНКОВЫЙ ВОЕННЫЙ ГОРОДОК,,84,"60.134279,30.171229"
5728,Автобус,Остановка,ТАРАСОВА УЛ.,ТАРАСОВА УЛ.,"Большеохтинский проспект, Тарасова улица","22,105,183","59.950000,30.409970"
5729,Автобус,Остановка,ТАРАСОВА УЛ.,ТАРАСОВА УЛ.,"Среднеохтинский проспект, Тарасова улица","15,136,181","59.949795,30.414814"
5730,Автобус,Остановка,ТАРАСОВА УЛ.,ТАРАСОВА УЛ.,"Среднеохтинский проспект, Тарасова улица",174,"59.949239,30.414687"
5731,Автобус,Остановка,ТАРАСОВА УЛ. [],ТАРАСОВА УЛ.,"Большеохтинский пр., ул. Тарасова",105,"59.950842,30.409856"
5732,Автобус,Остановка,"ТАРАСОВА УЛ. [22, 15, 136, 174]",ТАРАСОВА УЛ.,"Среднеохтинский пр., ул. Тарасова","15,22,136,174","59.949200,30.414320"
5733,Автобус,Остановка,ТАРХОВСКИЙ ВОЕННЫЙ САНАТОРИЙ,ТАРХОВСКИЙ ВОЕННЫЙ САНАТОРИЙ,Приморское ш.,307,"60.056998,29.977182"
5734,Автобус,Остановка,ТАРХОВСКИЙ ВОЕННЫЙ САНАТОРИЙ,ТАРХОВСКИЙ ВОЕННЫЙ САНАТОРИЙ,Приморское ш.,309,"60.057014,29.977503"
5735,Автобус,Остановка,ТАРХОВСКИЙ ПР. 47,ТАРХОВСКИЙ ПР. 47,"Тарховский пр., Жуков пер.",307,"60.067631,29.972396"
5736,Автобус,Остановка,"ТАРХОВСКИЙ ПР.,24","ТАРХОВСКИЙ ПР.,24","Тарховский пр., Мал. ленинградская ул.",307,"60.071095,29.971871"
5737,Автобус,Остановка,ТБК,ТБК,"ул. Гидростроителей, ул. Станюковича","2КР,3КР,101А","60.010564,29.717714"
5738,Автобус,Остановка,ТВЕРСКАЯ УЛ.,ТВЕРСКАЯ УЛ.,"улица Ремизова, Тверская ул.",386,"59.741277,30.609241"
5739,Автобус,Остановка,ТВЕРСКАЯ УЛ.,ТВЕРСКАЯ УЛ.,"улица Ремизова, Тверская улица","364,369,386","59.741142,30.611000"
5740,Автобус,Остановка,ТВЕРСКАЯ УЛ.,ТВЕРСКАЯ УЛ.,"Тверская ул., Пролетарской Диктатуры ул.","46,54,74","59.946890,30.389458"
5741,Автобус,Остановка,"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ул. Ижорского батальона, ул. Тверская",326,"59.735510,30.611850"
5742,Автобус,Остановка,"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ул. Ижорского батальона, ул. Тверская","192,325,326,364,368,386","59.735390,30.612220"
5743,Автобус,Остановка,"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","Тверская улица, улица Ижорского батальона","325,328,330,364,367,368,386,392А,540,544","59.735129,30.611064"
5744,Автобус,Остановка,"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","Тверская улица, улица Ижорского батальона","192,328,330,367,392А,540,544","59.735768,30.611579"
5745,Автобус,Остановка,"ТЕАТР ЗА ЧЁРНОЙ РЕЧКОЙ [93, 172]",ТЕАТР ЗА ЧЁРНОЙ РЕЧКОЙ,Богатырский пр.,"93,122,170,172,184","60.000021,30.289918"
5746,Автобус,Остановка,"ТЕАТР ЗА ЧЁРНОЙ РЕЧКОЙ [93, 172]<",ТЕАТР ЗА ЧЁРНОЙ РЕЧКОЙ,Богатырский пр.,"93,170,172,184","59.999692,30.290797"
5747,Автобус,Остановка,ТЕАТРАЛЬНАЯ ПЛ.,ТЕАТРАЛЬНАЯ ПЛ.,"Глинки ул., Декабристов ул.","2,3,27,50","59.925907,30.296592"
5748,Автобус,Остановка,"ТЕЛЕЗИ [482, 482а, 482в, 484, 484б]",ТЕЛЕЗИ,Таллинское ш.,"446,481,482,482В,484,547","59.701875,29.979630"
5749,Автобус,Остановка,"ТЕЛЕЗИ [482, 482а, 482в, 484, 484б]<",ТЕЛЕЗИ,Таллинское ш.,"481,482,482В,484,547","59.700861,29.975776"
5750,Автобус,Остановка,ТЕЛЬМАНА 34 [<],ТЕЛЬМАНА 34,Тельмана ул.,"12,97,118","59.891608,30.471717"
5751,Автобус,Остановка,ТЕЛЬМАНА 34 [],ТЕЛЬМАНА 34,Тельмана ул.,"12,97,118","59.891389,30.472222"
5752,Автобус,Остановка,"ТЕШКОВО [487, 487, 487а]",ТЕШКОВО,Таллинское ш.,487,"59.590237,29.416842"
5753,Автобус,Остановка,"ТЕШКОВО [487, 487, 487а]<",ТЕШКОВО,Таллинское ш.,487,"59.589712,29.415876"
5754,Автобус,Остановка,ТИМУРОВСКАЯ УЛ.,ТИМУРОВСКАЯ УЛ.,"Светлановский пр., Тимуровская ул.","98,102,153","60.044136,30.402045"
5755,Автобус,Остановка,ТИМУРОВСКАЯ УЛ.,ТИМУРОВСКАЯ УЛ.,"Светлановский пр., Тимуровская ул.","98,102,153","60.044536,30.403149"
5756,Автобус,Остановка,ТИМУРОВСКАЯ УЛ.,ТИМУРОВСКАЯ УЛ.,"Ушинского ул., Тимуровская ул.",40.176,"60.041966,30.415531"
5757,Автобус,Остановка,ТИМУРОВСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР.,ТИМУРОВСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР.,"Тимуровская ул., Светлановский пр.","61,93,176,193","60.044557,30.401741"
5758,Автобус,Остановка,"ТИМУРОВСКАЯ УЛ.,УГ. УЛ.УШИНСКОГО","ТИМУРОВСКАЯ УЛ.,УГ. УЛ.УШИНСКОГО","Тимуровская ул., Ушинского ул.","61,93,176,193","60.041929,30.414629"
5759,Автобус,Остановка,ТИМЯШКИНО,ТИМЯШКИНО,"Гостилицкое шоссе, Пригородная улица","352,463,463А,489,682,683,683А,684,685А,686","59.870805,29.830910"
5760,Автобус,Остановка,ТИМЯШКИНО,ТИМЯШКИНО,"Гостилицкое шоссе, Пригородная улица","352,463,463А,489,682,683,683А,684,685А,686","59.870584,29.831318"
5761,Автобус,Остановка,ТИХООКЕАНСКАЯ УЛ.,ТИХООКЕАНСКАЯ УЛ.,,397,"60.071213,30.233633"
5762,Автобус,Остановка,ТИХООКЕАНСКАЯ УЛ.,ТИХООКЕАНСКАЯ УЛ.,ул. Заманиловская,397,"60.071407,30.233645"
5763,Автобус,Остановка,"ТИХООКЕАНСКАЯ УЛ.,1","ТИХООКЕАНСКАЯ УЛ.,1",ул. Тихоокеанская,397,"60.071746,30.240539"
